# load the base data ../data/netflix/netflix_base.fvecs, 
# load the queries ../data/netflix/netflix_query.fvecs, 
# load the ground truth ../data/netflix/1_netflix_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: Subspace PQ, M: 3, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 3, 0 -> 100
#    Training the subspace: 1 / 3, 100 -> 200
#    Training the subspace: 2 / 3, 200 -> 300
# layer: 0,  residual average norm : 0.22083784639835358 max norm: 0.6468110680580139 min norm: 0.027376074343919754
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.23, 0.23, 0, 1
2, 0, 0.381, 0.1905, 0, 2
4, 0, 0.598, 0.1495, 0, 4
8, 0, 0.754, 0.09425, 0, 8
16, 0, 0.874, 0.054625, 0, 16
32, 0, 0.955, 0.02984375, 0, 32
64, 0, 0.993, 0.015515625, 0, 64
128, 0, 0.997, 0.0077890625, 0, 128
256, 0, 0.998, 0.0038984375, 0, 256
512, 0, 1.0, 0.001953125, 0, 512
1024, 0, 1.0, 0.0009765625, 0, 1024
2048, 0, 1.0, 0.00048828125, 0, 2048
4096, 0, 1.0, 0.000244140625, 0, 4096
8192, 0, 1.0, 0.0001220703125, 0, 8192
16384, 0, 1.0, 6.103515625e-05, 0, 16384
32768, 0, 1.0, 5.627462014631401e-05, 0, 17770
