# load the base data ../data/netflix/netflix_base.fvecs, 
# load the queries ../data/netflix/netflix_query.fvecs, 
# load the ground truth ../data/netflix/1_netflix_product_groundtruth.ivecs
# ranking metric product
# OPQ, M: 4, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 4, 0 -> 75
#    Training the subspace: 1 / 4, 75 -> 150
#    Training the subspace: 2 / 4, 150 -> 225
#    Training the subspace: 3 / 4, 225 -> 300
# layer: 0,  residual average norm : 0.22637592256069183 max norm: 0.8673050403594971 min norm: 0.07479333877563477
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.085, 0.085, 0, 1
2, 0, 0.139, 0.0695, 0, 2
4, 0, 0.232, 0.058, 0, 4
8, 0, 0.349, 0.043625, 0, 8
16, 0, 0.553, 0.0345625, 0, 16
32, 0, 0.79, 0.0246875, 0, 32
64, 0, 0.898, 0.01403125, 0, 64
128, 0, 0.959, 0.0074921875, 0, 128
256, 0, 0.974, 0.0038046875, 0, 256
512, 0, 0.981, 0.001916015625, 0, 512
1024, 0, 0.987, 0.0009638671875, 0, 1024
2048, 0, 1.0, 0.00048828125, 0, 2048
4096, 0, 1.0, 0.000244140625, 0, 4096
8192, 0, 1.0, 0.0001220703125, 0, 8192
16384, 0, 1.0, 6.103515625e-05, 0, 16384
32768, 0, 1.0, 5.627462014631401e-05, 0, 17770
