# load the base data ../data/netflix/netflix_base.fvecs, 
# load the queries ../data/netflix/netflix_query.fvecs, 
# load the ground truth ../data/netflix/1_netflix_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 4, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 4, 0 -> 75
#    Training the subspace: 1 / 4, 75 -> 150
#    Training the subspace: 2 / 4, 150 -> 225
#    Training the subspace: 3 / 4, 225 -> 300
# layer: 0,  residual average norm : 0.4073209762573242 max norm: 1.2490562200546265 min norm: 0.1029893308877945
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.028, 0.028, 0, 1
2, 0, 0.051, 0.0255, 0, 2
4, 0, 0.109, 0.02725, 0, 4
8, 0, 0.229, 0.028625, 0, 8
16, 0, 0.386, 0.024125, 0, 16
32, 0, 0.519, 0.01621875, 0, 32
64, 0, 0.662, 0.01034375, 0, 64
128, 0, 0.805, 0.0062890625, 0, 128
256, 0, 0.912, 0.0035625, 0, 256
512, 0, 0.961, 0.001876953125, 0, 512
1024, 0, 0.988, 0.00096484375, 0, 1024
2048, 0, 0.996, 0.000486328125, 0, 2048
4096, 0, 1.0, 0.000244140625, 0, 4096
8192, 0, 1.0, 0.0001220703125, 0, 8192
16384, 0, 1.0, 6.103515625e-05, 0, 16384
32768, 0, 1.0, 5.627462014631401e-05, 0, 17770
