# load the base data ../data/netflix/netflix_base.fvecs, 
# load the queries ../data/netflix/netflix_query.fvecs, 
# load the ground truth ../data/netflix/20_netflix_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 0,  residual average norm : 0.4127624034881592 max norm: 1.2760446071624756 min norm: 0.0
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.005050000000000001, 0.101, 0, 1
2, 0, 0.0115, 0.11499999999999999, 0, 2
4, 0, 0.02275, 0.11374999999999999, 0, 4
8, 0, 0.046450000000000005, 0.116125, 0, 8
16, 0, 0.089, 0.11124999999999999, 0, 16
32, 0, 0.17845, 0.11153125, 0, 32
64, 0, 0.33694999999999997, 0.10529687499999998, 0, 64
128, 0, 0.5423, 0.084734375, 0, 128
256, 0, 0.7497, 0.0585703125, 0, 256
512, 0, 0.9065, 0.03541015625, 0, 512
1024, 0, 0.9694499999999999, 0.0189345703125, 0, 1024
2048, 0, 0.99405, 0.00970751953125, 0, 2048
4096, 0, 0.99915, 0.004878662109375, 0, 4096
8192, 0, 0.9999, 0.002441162109375, 0, 8192
16384, 0, 1.0, 0.001220703125, 0, 16384
32768, 0, 1.0, 0.0011254924029262803, 0, 17770
