# load the base data ../data/netflix/netflix_base.fvecs, 
# load the queries ../data/netflix/netflix_query.fvecs, 
# load the ground truth ../data/netflix/20_netflix_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 0,  residual average norm : 0.22268709540367126 max norm: 0.6974430680274963 min norm: 0.0
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.029699999999999997, 0.594, 0, 1
2, 0, 0.060750000000000005, 0.6075, 0, 2
4, 0, 0.123, 0.615, 0, 4
8, 0, 0.23895, 0.597375, 0, 8
16, 0, 0.41580000000000006, 0.51975, 0, 16
32, 0, 0.6506000000000001, 0.406625, 0, 32
64, 0, 0.8378500000000001, 0.261828125, 0, 64
128, 0, 0.9505000000000001, 0.148515625, 0, 128
256, 0, 0.9884499999999999, 0.07722265625, 0, 256
512, 0, 0.9977499999999999, 0.038974609375, 0, 512
1024, 0, 0.9996, 0.0195234375, 0, 1024
2048, 0, 0.9999, 0.0097646484375, 0, 2048
4096, 0, 1.0, 0.0048828125, 0, 4096
8192, 0, 1.0, 0.00244140625, 0, 8192
16384, 0, 1.0, 0.001220703125, 0, 16384
32768, 0, 1.0, 0.0011254924029262803, 0, 17770
