# load the base data ../data/netflix/netflix_base.fvecs, 
# load the queries ../data/netflix/netflix_query.fvecs, 
# load the ground truth ../data/netflix/20_netflix_product_groundtruth.ivecs
# ranking metric product
# AQ, M: 4, Ks : 256, code_dtype: <class 'numpy.int32'>
# compress items
# Mean AQ quantization error: 0.038235
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.040600000000000004, 0.812, 0, 1
2, 0, 0.07975, 0.7975, 0, 2
4, 0, 0.14650000000000002, 0.7325000000000002, 0, 4
8, 0, 0.25245, 0.631125, 0, 8
16, 0, 0.4284, 0.5355, 0, 16
32, 0, 0.6702, 0.418875, 0, 32
64, 0, 0.85945, 0.268578125, 0, 64
128, 0, 0.9603999999999999, 0.1500625, 0, 128
256, 0, 0.9885999999999999, 0.077234375, 0, 256
512, 0, 0.9961, 0.03891015625, 0, 512
1024, 0, 0.9993000000000001, 0.019517578125, 0, 1024
2048, 0, 1.0, 0.009765625, 0, 2048
4096, 0, 1.0, 0.0048828125, 0, 4096
8192, 0, 1.0, 0.00244140625, 0, 8192
16384, 0, 1.0, 0.001220703125, 0, 16384
32768, 0, 1.0, 0.0011254924029262803, 0, 17770
