# load the base data ../data/netflix/netflix_base.fvecs, 
# load the queries ../data/netflix/netflix_query.fvecs, 
# load the ground truth ../data/netflix/20_netflix_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: ORQ, RQ : [Subspace PQ, M: 3, Ks : 256, code_dtype: <class 'numpy.uint8'>],  M: 3, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 3, 0 -> 100
#    Training the subspace: 1 / 3, 100 -> 200
#    Training the subspace: 2 / 3, 200 -> 300
# layer: 0,  residual average norm : 0.14235031604766846 max norm: 0.5360077619552612 min norm: 0.04822933301329613
# layer: 0,  residual average norm : 0.14235031604766846 max norm: 0.5360077619552612 min norm: 0.048229318112134933
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.04765, 0.953, 0, 1
2, 0, 0.0949, 0.949, 0, 2
4, 0, 0.18725, 0.93625, 0, 4
8, 0, 0.3605, 0.90125, 0, 8
16, 0, 0.6354, 0.7942499999999999, 0, 16
32, 0, 0.8963, 0.5601875, 0, 32
64, 0, 0.9835000000000002, 0.30734375, 0, 64
128, 0, 0.9982000000000001, 0.15596875000000002, 0, 128
256, 0, 0.9997999999999999, 0.078109375, 0, 256
512, 0, 1.0, 0.0390625, 0, 512
1024, 0, 1.0, 0.01953125, 0, 1024
2048, 0, 1.0, 0.009765625, 0, 2048
4096, 0, 1.0, 0.0048828125, 0, 4096
8192, 0, 1.0, 0.00244140625, 0, 8192
16384, 0, 1.0, 0.001220703125, 0, 16384
32768, 0, 1.0, 0.0006103515625, 0, 32768
