# load the base data ../data/netflix/netflix_base.fvecs, 
# load the queries ../data/netflix/netflix_query.fvecs, 
# load the ground truth ../data/netflix/20_netflix_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 8, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 8, 0 -> 38
#    Training the subspace: 1 / 8, 38 -> 76
#    Training the subspace: 2 / 8, 76 -> 114
#    Training the subspace: 3 / 8, 114 -> 152
#    Training the subspace: 4 / 8, 152 -> 189
#    Training the subspace: 5 / 8, 189 -> 226
#    Training the subspace: 6 / 8, 226 -> 263
#    Training the subspace: 7 / 8, 263 -> 300
# layer: 0,  residual average norm : 0.3968868553638458 max norm: 1.2293035984039307 min norm: 0.04886408895254135
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0252, 0.504, 0, 1
2, 0, 0.0496, 0.496, 0, 2
4, 0, 0.0974, 0.487, 0, 4
8, 0, 0.17795, 0.444875, 0, 8
16, 0, 0.305, 0.38125, 0, 16
32, 0, 0.4667, 0.2916875, 0, 32
64, 0, 0.6677, 0.20865625, 0, 64
128, 0, 0.83755, 0.1308671875, 0, 128
256, 0, 0.9428000000000001, 0.07365625, 0, 256
512, 0, 0.9808, 0.0383125, 0, 512
1024, 0, 0.9948499999999999, 0.0194306640625, 0, 1024
2048, 0, 0.999, 0.009755859375, 0, 2048
4096, 0, 0.9999499999999999, 0.004882568359375, 0, 4096
8192, 0, 1.0, 0.00244140625, 0, 8192
16384, 0, 1.0, 0.001220703125, 0, 16384
32768, 0, 1.0, 0.0011254924029262803, 0, 17770
