# load the base data ../data/netflix/netflix_base.fvecs, 
# load the queries ../data/netflix/netflix_query.fvecs, 
# load the ground truth ../data/netflix/50_netflix_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 16, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 16, 0 -> 19
#    Training the subspace: 1 / 16, 19 -> 38
#    Training the subspace: 2 / 16, 38 -> 57
#    Training the subspace: 3 / 16, 57 -> 76
#    Training the subspace: 4 / 16, 76 -> 95
#    Training the subspace: 5 / 16, 95 -> 114
#    Training the subspace: 6 / 16, 114 -> 133
#    Training the subspace: 7 / 16, 133 -> 152
#    Training the subspace: 8 / 16, 152 -> 171
#    Training the subspace: 9 / 16, 171 -> 190
#    Training the subspace: 10 / 16, 190 -> 209
#    Training the subspace: 11 / 16, 209 -> 228
#    Training the subspace: 12 / 16, 228 -> 246
#    Training the subspace: 13 / 16, 246 -> 264
#    Training the subspace: 14 / 16, 264 -> 282
#    Training the subspace: 15 / 16, 282 -> 300
# layer: 0,  residual average norm : 0.37380653619766235 max norm: 1.1679781675338745 min norm: 0.05040452629327774
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.01738, 0.869, 0, 1
2, 0, 0.03466, 0.8665, 0, 2
4, 0, 0.06854, 0.85675, 0, 4
8, 0, 0.1335, 0.8343750000000001, 0, 8
16, 0, 0.24295999999999998, 0.75925, 0, 16
32, 0, 0.41984, 0.656, 0, 32
64, 0, 0.6346200000000001, 0.4957968750000001, 0, 64
128, 0, 0.83492, 0.326140625, 0, 128
256, 0, 0.95134, 0.18580859375, 0, 256
512, 0, 0.9898, 0.09666015625, 0, 512
1024, 0, 0.99772, 0.048716796875, 0, 1024
2048, 0, 0.99976, 0.024408203125, 0, 2048
4096, 0, 1.0, 0.01220703125, 0, 4096
8192, 0, 1.0, 0.006103515625, 0, 8192
16384, 0, 1.0, 0.0030517578125, 0, 16384
32768, 0, 1.0, 0.0028137310073157004, 0, 17770
