# load the base data ../data/netflix/netflix_base.fvecs, 
# load the queries ../data/netflix/netflix_query.fvecs, 
# load the ground truth ../data/netflix/50_netflix_product_groundtruth.ivecs
# ranking metric product
# OPQ, M: 2, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 2, 0 -> 150
#    Training the subspace: 1 / 2, 150 -> 300
# layer: 0,  residual average norm : 0.325784295797348 max norm: 1.178204894065857 min norm: 0.08761157840490341
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.01366, 0.683, 0, 1
2, 0, 0.024780000000000003, 0.6195, 0, 2
4, 0, 0.0464, 0.58, 0, 4
8, 0, 0.09083999999999999, 0.56775, 0, 8
16, 0, 0.17198, 0.5374375, 0, 16
32, 0, 0.30622, 0.47846875, 0, 32
64, 0, 0.49200000000000005, 0.384375, 0, 64
128, 0, 0.69806, 0.2726796875, 0, 128
256, 0, 0.8715600000000001, 0.1702265625, 0, 256
512, 0, 0.95682, 0.093439453125, 0, 512
1024, 0, 0.9867400000000001, 0.0481806640625, 0, 1024
2048, 0, 0.9956, 0.024306640625, 0, 2048
4096, 0, 0.9991599999999999, 0.01219677734375, 0, 4096
8192, 0, 1.0, 0.006103515625, 0, 8192
16384, 0, 1.0, 0.0030517578125, 0, 16384
32768, 0, 1.0, 0.0028137310073157004, 0, 17770
