# load the base data ../data/netflix/netflix_base.fvecs, 
# load the queries ../data/netflix/netflix_query.fvecs, 
# load the ground truth ../data/netflix/50_netflix_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: AQ, M: 3, Ks : 256, code_dtype: <class 'numpy.int32'>
# compress items
# Mean AQ quantization error: 0.017697
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.02, 1.0, 0, 1
2, 0, 0.03988, 0.997, 0, 2
4, 0, 0.07964, 0.9955, 0, 4
8, 0, 0.15811999999999998, 0.9882499999999999, 0, 8
16, 0, 0.31216, 0.9755, 0, 16
32, 0, 0.5947, 0.92921875, 0, 32
64, 0, 0.9101, 0.711015625, 0, 64
128, 0, 0.99232, 0.387625, 0, 128
256, 0, 0.99958, 0.19523046875, 0, 256
512, 0, 0.99996, 0.09765234375, 0, 512
1024, 0, 1.0, 0.048828125, 0, 1024
2048, 0, 1.0, 0.0244140625, 0, 2048
4096, 0, 1.0, 0.01220703125, 0, 4096
8192, 0, 1.0, 0.006103515625, 0, 8192
16384, 0, 1.0, 0.0030517578125, 0, 16384
32768, 0, 1.0, 0.0028137310073157004, 0, 17770
