# load the base data ../data/netflix/netflix_base.fvecs, 
# load the queries ../data/netflix/netflix_query.fvecs, 
# load the ground truth ../data/netflix/50_netflix_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: OPQ, M: 4, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 4, 0 -> 75
#    Training the subspace: 1 / 4, 75 -> 150
#    Training the subspace: 2 / 4, 150 -> 225
#    Training the subspace: 3 / 4, 225 -> 300
# layer: 0,  residual average norm : 0.12048320472240448 max norm: 0.495083212852478 min norm: 0.03001745045185089
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.01984, 0.992, 0, 1
2, 0, 0.03968, 0.992, 0, 2
4, 0, 0.07916000000000001, 0.9895, 0, 4
8, 0, 0.15762, 0.985125, 0, 8
16, 0, 0.312, 0.975, 0, 16
32, 0, 0.59494, 0.92959375, 0, 32
64, 0, 0.91276, 0.71309375, 0, 64
128, 0, 0.99202, 0.3875078125, 0, 128
256, 0, 0.99952, 0.19521875, 0, 256
512, 0, 1.0, 0.09765625, 0, 512
1024, 0, 1.0, 0.048828125, 0, 1024
2048, 0, 1.0, 0.0244140625, 0, 2048
4096, 0, 1.0, 0.01220703125, 0, 4096
8192, 0, 1.0, 0.006103515625, 0, 8192
16384, 0, 1.0, 0.0030517578125, 0, 16384
32768, 0, 1.0, 0.0028137310073157004, 0, 17770
