# load the base data ../data/sift100m/sift100m_base.fvecs, 
# load the queries ../data/sift100m/sift100m_query.fvecs, 
# load the ground truth ../data/sift100m/10_sift100m_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 0,  residual average norm : 0.532881498336792 max norm: 0.8555207252502441 min norm: 0.13526023924350739
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 1,  residual average norm : 0.4604681730270386 max norm: 0.7214657664299011 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 2,  residual average norm : 0.41579264402389526 max norm: 0.6612787842750549 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 3,  residual average norm : 0.3834145665168762 max norm: 0.6246591806411743 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 4,  residual average norm : 0.357653945684433 max norm: 0.5949466228485107 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 5,  residual average norm : 0.336703896522522 max norm: 0.5655081868171692 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 6,  residual average norm : 0.31853803992271423 max norm: 0.5331188440322876 min norm: 0.0
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.028799999999999996, 0.288, 0, 1
2, 0, 0.0518, 0.259, 0, 2
4, 0, 0.0924, 0.23099999999999998, 0, 4
8, 0, 0.1495, 0.18687499999999999, 0, 8
16, 0, 0.23140000000000002, 0.144625, 0, 16
32, 0, 0.33039999999999997, 0.10325, 0, 32
64, 0, 0.4505, 0.070390625, 0, 64
128, 0, 0.5918, 0.046234375, 0, 128
256, 0, 0.7158, 0.027960937499999998, 0, 256
512, 0, 0.8278000000000001, 0.01616796875, 0, 512
1024, 0, 0.905, 0.008837890625, 0, 1024
2048, 0, 0.9519000000000001, 0.00464794921875, 0, 2048
4096, 0, 0.9788, 0.0023896484375, 0, 4096
8192, 0, 0.9926999999999999, 0.0012117919921875, 0, 8192
16384, 0, 0.998, 0.000609130859375, 0, 16384
32768, 0, 0.9994, 0.00030499267578125, 0, 32768
65536, 0, 1.0, 0.000152587890625, 0, 65536
131072, 0, 1.0, 7.62939453125e-05, 0, 131072
262144, 0, 1.0, 3.814697265625e-05, 0, 262144
524288, 0, 1.0, 1.9073486328125e-05, 0, 524288
1048576, 0, 1.0, 9.5367431640625e-06, 0, 1048576
2097152, 0, 1.0, 4.76837158203125e-06, 0, 2097152
4194304, 0, 1.0, 2.384185791015625e-06, 0, 4194304
8388608, 0, 1.0, 1.1920928955078125e-06, 0, 8388608
16777216, 0, 1.0, 5.960464477539062e-07, 0, 16777216
33554432, 0, 1.0, 2.980232238769531e-07, 0, 33554432
67108864, 0, 1.0, 1.4901161193847656e-07, 0, 67108864
134217728, 0, 1.0, 7.450580596923828e-08, 0, 134217728
