# load the base data ../data/sift100m/sift100m_base.fvecs, 
# load the queries ../data/sift100m/sift100m_query.fvecs, 
# load the ground truth ../data/sift100m/10_sift100m_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 0,  residual average norm : 271.0462951660156 max norm: 435.2031555175781 min norm: 69.10726928710938
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 1,  residual average norm : 234.21827697753906 max norm: 367.3070068359375 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 2,  residual average norm : 211.5290985107422 max norm: 347.0196838378906 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 3,  residual average norm : 195.01083374023438 max norm: 324.4926452636719 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 4,  residual average norm : 181.9425811767578 max norm: 310.5679931640625 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 5,  residual average norm : 171.24537658691406 max norm: 293.8828430175781 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 6,  residual average norm : 162.08192443847656 max norm: 283.1855773925781 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 7,  residual average norm : 154.08941650390625 max norm: 263.30206298828125 min norm: 0.0
# compress items
# sorting items
 searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.008700000000000001, 0.08700000000000001, 0, 1
2, 0, 0.015099999999999999, 0.0755, 0, 2
4, 0, 0.0257, 0.06425, 0, 4
8, 0, 0.043699999999999996, 0.05462499999999999, 0, 8
16, 0, 0.07110000000000001, 0.044437500000000005, 0, 16
32, 0, 0.10540000000000001, 0.0329375, 0, 32
64, 0, 0.1525, 0.023828125, 0, 64
128, 0, 0.2159, 0.016867187500000002, 0, 128
256, 0, 0.2978, 0.0116328125, 0, 256
512, 0, 0.4014, 0.007839843749999999, 0, 512
1024, 0, 0.5124000000000001, 0.0050039062500000005, 0, 1024
2048, 0, 0.6285, 0.0030688476562499996, 0, 2048
4096, 0, 0.7404, 0.0018076171875, 0, 4096
8192, 0, 0.8282, 0.001010986328125, 0, 8192
16384, 0, 0.8966000000000001, 0.0005472412109375001, 0, 16384
32768, 0, 0.9452999999999999, 0.000288482666015625, 0, 32768
65536, 0, 0.9749000000000001, 0.0001487579345703125, 0, 65536
131072, 0, 0.9907999999999999, 7.5592041015625e-05, 0, 131072
262144, 0, 0.9907999999999999, 3.77960205078125e-05, 0, 262144
524288, 0, 0.9907999999999999, 1.889801025390625e-05, 0, 524288
1048576, 0, 0.9907999999999999, 9.449005126953124e-06, 0, 1048576
2097152, 0, 0.9907999999999999, 4.724502563476562e-06, 0, 2097152
4194304, 0, 0.9907999999999999, 2.362251281738281e-06, 0, 4194304
8388608, 0, 0.9907999999999999, 1.1811256408691406e-06, 0, 8388608
16777216, 0, 0.9907999999999999, 5.905628204345703e-07, 0, 16777216
33554432, 0, 0.9907999999999999, 2.9528141021728514e-07, 0, 33554432
67108864, 0, 0.9907999999999999, 1.4764070510864257e-07, 0, 67108864
134217728, 0, 0.9907999999999999, 7.382035255432129e-08, 0, 134217728
