# load the base data ../data/sift100m/sift100m_base.fvecs, 
# load the queries ../data/sift100m/sift100m_query.fvecs, 
# load the ground truth ../data/sift100m/20_sift100m_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 0,  residual average norm : 0.532881498336792 max norm: 0.8555207252502441 min norm: 0.13526023924350739
# compress items
# sorting items
calculate norm.
allocate memory
allocate memory
calculate norm.
allocate memory
allocate memory
calculate norm.
allocate memory
allocate memory
calculate norm.
allocate memory
allocate memory
calculate norm.
allocate memory
allocate memory
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0, 0.0, 0, 1
2, 0, 0.0, 0.0, 0, 2
4, 0, 0.0, 0.0, 0, 4
8, 0, 0.0, 0.0, 0, 8
16, 0, 5e-05, 6.25e-05, 0, 16
32, 0, 0.0004, 0.00025, 0, 32
64, 0, 0.00065, 0.000203125, 0, 64
128, 0, 0.00115, 0.0001796875, 0, 128
256, 0, 0.0018, 0.000140625, 0, 256
512, 0, 0.0031499999999999996, 0.00012304687499999997, 0, 512
1024, 0, 0.0055, 0.00010742187499999999, 0, 1024
2048, 0, 0.009450000000000002, 9.228515625000001e-05, 0, 2048
4096, 0, 0.01645, 8.032226562499999e-05, 0, 4096
8192, 0, 0.0307, 7.4951171875e-05, 0, 8192
16384, 0, 0.051050000000000005, 6.231689453125001e-05, 0, 16384
32768, 0, 0.09179999999999999, 5.6030273437499996e-05, 0, 32768
65536, 0, 0.1584, 4.833984375e-05, 0, 65536
131072, 0, 0.26394999999999996, 4.027557373046874e-05, 0, 131072
262144, 0, 0.26394999999999996, 2.013778686523437e-05, 0, 262144
524288, 0, 0.26394999999999996, 1.0068893432617186e-05, 0, 524288
1048576, 0, 0.26394999999999996, 5.034446716308593e-06, 0, 1048576
2097152, 0, 0.26394999999999996, 2.5172233581542964e-06, 0, 2097152
4194304, 0, 0.26394999999999996, 1.2586116790771482e-06, 0, 4194304
8388608, 0, 0.26394999999999996, 6.293058395385741e-07, 0, 8388608
16777216, 0, 0.26394999999999996, 3.1465291976928705e-07, 0, 16777216
33554432, 0, 0.26394999999999996, 1.5732645988464353e-07, 0, 33554432
67108864, 0, 0.26394999999999996, 7.866322994232176e-08, 0, 67108864
134217728, 0, 0.26394999999999996, 3.933161497116088e-08, 0, 134217728
