# load the base data ../data/sift100m/sift100m_base.fvecs, 
# load the queries ../data/sift100m/sift100m_query.fvecs, 
# load the ground truth ../data/sift100m/20_sift100m_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 0,  residual average norm : 271.0462951660156 max norm: 435.2031555175781 min norm: 69.10726928710938
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 1,  residual average norm : 234.21827697753906 max norm: 367.3070068359375 min norm: 0.0
# compress items
# sorting items
calculate norm.
allocate memory
allocate memory
calculate norm.
allocate memory
allocate memory
calculate norm.
allocate memory
allocate memory
calculate norm.
allocate memory
allocate memory
calculate norm.
allocate memory
allocate memory
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0, 0.0, 0, 1
2, 0, 0.0, 0.0, 0, 2
4, 0, 0.0001, 0.0005, 0, 4
8, 0, 0.0002, 0.0005, 0, 8
16, 0, 0.0007, 0.000875, 0, 16
32, 0, 0.00115, 0.00071875, 0, 32
64, 0, 0.00225, 0.000703125, 0, 64
128, 0, 0.0037, 0.0005781250000000001, 0, 128
256, 0, 0.00755, 0.00058984375, 0, 256
512, 0, 0.01405, 0.000548828125, 0, 512
1024, 0, 0.027399999999999997, 0.0005351562499999999, 0, 1024
2048, 0, 0.05075, 0.0004956054687500001, 0, 2048
4096, 0, 0.09, 0.00043945312499999996, 0, 4096
8192, 0, 0.14205, 0.0003468017578125, 0, 8192
16384, 0, 0.21284999999999998, 0.00025982666015625, 0, 16384
32768, 0, 0.32115, 0.000196014404296875, 0, 32768
65536, 0, 0.4651, 0.000141937255859375, 0, 65536
131072, 0, 0.6216, 9.48486328125e-05, 0, 131072
262144, 0, 0.6216, 4.742431640625e-05, 0, 262144
524288, 0, 0.6216, 2.3712158203125e-05, 0, 524288
1048576, 0, 0.6216, 1.18560791015625e-05, 0, 1048576
2097152, 0, 0.6216, 5.92803955078125e-06, 0, 2097152
4194304, 0, 0.6216, 2.964019775390625e-06, 0, 4194304
8388608, 0, 0.6216, 1.4820098876953125e-06, 0, 8388608
16777216, 0, 0.6216, 7.410049438476563e-07, 0, 16777216
33554432, 0, 0.6216, 3.7050247192382814e-07, 0, 33554432
67108864, 0, 0.6216, 1.8525123596191407e-07, 0, 67108864
134217728, 0, 0.6216, 9.262561798095703e-08, 0, 134217728
