# load the base data ../data/sift100m/sift100m_base.fvecs, 
# load the queries ../data/sift100m/sift100m_query.fvecs, 
# load the ground truth ../data/sift100m/20_sift100m_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 0,  residual average norm : 0.5328831672668457 max norm: 0.8545288443565369 min norm: 0.1351248323917389
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 1,  residual average norm : 0.46043261885643005 max norm: 0.722808837890625 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 2,  residual average norm : 0.4157136380672455 max norm: 0.660210132598877 min norm: 0.0
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.002, 0.04, 0, 1
2, 0, 0.0036499999999999996, 0.0365, 0, 2
4, 0, 0.00635, 0.03175, 0, 4
8, 0, 0.011849999999999998, 0.029624999999999995, 0, 8
16, 0, 0.020499999999999997, 0.025624999999999995, 0, 16
32, 0, 0.0359, 0.0224375, 0, 32
64, 0, 0.060700000000000004, 0.01896875, 0, 64
128, 0, 0.0998, 0.01559375, 0, 128
256, 0, 0.15715, 0.012277343750000001, 0, 256
512, 0, 0.2374, 0.0092734375, 0, 512
1024, 0, 0.3417, 0.006673828125, 0, 1024
2048, 0, 0.46015, 0.00449365234375, 0, 2048
4096, 0, 0.59065, 0.002884033203125, 0, 4096
8192, 0, 0.7109, 0.001735595703125, 0, 8192
16384, 0, 0.8155, 0.0009954833984375, 0, 16384
32768, 0, 0.8932, 0.000545166015625, 0, 32768
65536, 0, 0.9441999999999999, 0.00028814697265625, 0, 65536
131072, 0, 0.9759000000000001, 0.0001489105224609375, 0, 131072
262144, 0, 0.9759000000000001, 7.445526123046875e-05, 0, 262144
524288, 0, 0.9759000000000001, 3.7227630615234376e-05, 0, 524288
1048576, 0, 0.9759000000000001, 1.8613815307617188e-05, 0, 1048576
2097152, 0, 0.9759000000000001, 9.306907653808594e-06, 0, 2097152
4194304, 0, 0.9759000000000001, 4.653453826904297e-06, 0, 4194304
8388608, 0, 0.9759000000000001, 2.3267269134521485e-06, 0, 8388608
16777216, 0, 0.9759000000000001, 1.1633634567260743e-06, 0, 16777216
33554432, 0, 0.9759000000000001, 5.816817283630371e-07, 0, 33554432
67108864, 0, 0.9759000000000001, 2.9084086418151856e-07, 0, 67108864
134217728, 0, 0.9759000000000001, 1.4542043209075928e-07, 0, 134217728
