# load the base data ../data/sift100m/sift100m_base.fvecs, 
# load the queries ../data/sift100m/sift100m_query.fvecs, 
# load the ground truth ../data/sift100m/20_sift100m_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 0,  residual average norm : 271.045654296875 max norm: 435.131103515625 min norm: 69.10592651367188
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 1,  residual average norm : 234.2046661376953 max norm: 367.9516296386719 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 2,  residual average norm : 211.5129852294922 max norm: 346.05670166015625 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 3,  residual average norm : 194.90513610839844 max norm: 314.37835693359375 min norm: 0.0
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.00085, 0.016999999999999998, 0, 1
2, 0, 0.0018499999999999999, 0.0185, 0, 2
4, 0, 0.0033, 0.0165, 0, 4
8, 0, 0.00615, 0.015375, 0, 8
16, 0, 0.01085, 0.0135625, 0, 16
32, 0, 0.0186, 0.011625, 0, 32
64, 0, 0.0296, 0.009250000000000001, 0, 64
128, 0, 0.04985, 0.0077890625, 0, 128
256, 0, 0.0774, 0.006046875, 0, 256
512, 0, 0.1181, 0.00461328125, 0, 512
1024, 0, 0.1767, 0.003451171875, 0, 1024
2048, 0, 0.25689999999999996, 0.0025087890624999995, 0, 2048
4096, 0, 0.3535, 0.0017260742187499999, 0, 4096
8192, 0, 0.47, 0.0011474609374999998, 0, 8192
16384, 0, 0.5932999999999999, 0.0007242431640625, 0, 16384
32768, 0, 0.7124000000000001, 0.0004348144531250001, 0, 32768
65536, 0, 0.8191999999999999, 0.00025, 0, 65536
131072, 0, 0.90115, 0.00013750457763671875, 0, 131072
262144, 0, 0.90115, 6.875228881835937e-05, 0, 262144
524288, 0, 0.90115, 3.437614440917969e-05, 0, 524288
1048576, 0, 0.90115, 1.7188072204589843e-05, 0, 1048576
2097152, 0, 0.90115, 8.594036102294922e-06, 0, 2097152
4194304, 0, 0.90115, 4.297018051147461e-06, 0, 4194304
8388608, 0, 0.90115, 2.1485090255737304e-06, 0, 8388608
16777216, 0, 0.90115, 1.0742545127868652e-06, 0, 16777216
33554432, 0, 0.90115, 5.371272563934326e-07, 0, 33554432
67108864, 0, 0.90115, 2.685636281967163e-07, 0, 67108864
134217728, 0, 0.90115, 1.3428181409835815e-07, 0, 134217728
