# load the base data ../data/sift100m/sift100m_base.fvecs, 
# load the queries ../data/sift100m/sift100m_query.fvecs, 
# load the ground truth ../data/sift100m/20_sift100m_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 0,  residual average norm : 0.5328831672668457 max norm: 0.8545288443565369 min norm: 0.1351248323917389
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 1,  residual average norm : 0.46043261885643005 max norm: 0.722808837890625 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 2,  residual average norm : 0.4157136380672455 max norm: 0.660210132598877 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 3,  residual average norm : 0.38339948654174805 max norm: 0.6239116191864014 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 4,  residual average norm : 0.3576872646808624 max norm: 0.5958994626998901 min norm: 0.0
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.01135, 0.227, 0, 1
2, 0, 0.0195, 0.195, 0, 2
4, 0, 0.03435, 0.17174999999999999, 0, 4
8, 0, 0.05895, 0.147375, 0, 8
16, 0, 0.09684999999999999, 0.12106249999999999, 0, 16
32, 0, 0.14975, 0.09359375, 0, 32
64, 0, 0.2233, 0.06978125, 0, 64
128, 0, 0.32365000000000005, 0.050570312500000006, 0, 128
256, 0, 0.444, 0.0346875, 0, 256
512, 0, 0.571, 0.022304687499999996, 0, 512
1024, 0, 0.6975000000000001, 0.013623046875000003, 0, 1024
2048, 0, 0.80095, 0.007821777343750001, 0, 2048
4096, 0, 0.8799499999999999, 0.004296630859374999, 0, 4096
8192, 0, 0.9363, 0.002285888671875, 0, 8192
16384, 0, 0.9711000000000001, 0.0011854248046875, 0, 16384
32768, 0, 0.98825, 0.000603179931640625, 0, 32768
65536, 0, 0.99535, 0.0003037567138671875, 0, 65536
131072, 0, 0.9987999999999999, 0.00015240478515625, 0, 131072
262144, 0, 0.9987999999999999, 7.6202392578125e-05, 0, 262144
524288, 0, 0.9987999999999999, 3.81011962890625e-05, 0, 524288
1048576, 0, 0.9987999999999999, 1.905059814453125e-05, 0, 1048576
2097152, 0, 0.9987999999999999, 9.525299072265625e-06, 0, 2097152
4194304, 0, 0.9987999999999999, 4.762649536132812e-06, 0, 4194304
8388608, 0, 0.9987999999999999, 2.381324768066406e-06, 0, 8388608
16777216, 0, 0.9987999999999999, 1.190662384033203e-06, 0, 16777216
33554432, 0, 0.9987999999999999, 5.953311920166015e-07, 0, 33554432
67108864, 0, 0.9987999999999999, 2.9766559600830077e-07, 0, 67108864
134217728, 0, 0.9987999999999999, 1.4883279800415038e-07, 0, 134217728
