# load the base data ../data/sift100m/sift100m_base.fvecs, 
# load the queries ../data/sift100m/sift100m_query.fvecs, 
# load the ground truth ../data/sift100m/20_sift100m_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: Subspace PQ, M: 7, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 7, 0 -> 19
#    Training the subspace: 1 / 7, 19 -> 38
#    Training the subspace: 2 / 7, 38 -> 56
#    Training the subspace: 3 / 7, 56 -> 74
#    Training the subspace: 4 / 7, 74 -> 92
#    Training the subspace: 5 / 7, 92 -> 110
#    Training the subspace: 6 / 7, 110 -> 128
# layer: 0,  residual average norm : 0.3469253480434418 max norm: 0.5785130858421326 min norm: 0.12710188329219818
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.014799999999999999, 0.296, 0, 1
2, 0, 0.027399999999999997, 0.27399999999999997, 0, 2
4, 0, 0.048299999999999996, 0.2415, 0, 4
8, 0, 0.08225, 0.205625, 0, 8
16, 0, 0.13194999999999998, 0.1649375, 0, 16
32, 0, 0.20289999999999997, 0.1268125, 0, 32
64, 0, 0.2925, 0.09140625, 0, 64
128, 0, 0.40385000000000004, 0.06310156250000001, 0, 128
256, 0, 0.5248999999999999, 0.04100781249999999, 0, 256
512, 0, 0.64875, 0.025341796875000003, 0, 512
1024, 0, 0.7583, 0.014810546875, 0, 1024
2048, 0, 0.8476000000000001, 0.00827734375, 0, 2048
4096, 0, 0.9143499999999999, 0.004464599609375, 0, 4096
8192, 0, 0.9561, 0.002334228515625, 0, 8192
16384, 0, 0.98005, 0.00119635009765625, 0, 16384
32768, 0, 0.9925000000000002, 0.00060577392578125, 0, 32768
65536, 0, 0.9975, 0.00030441284179687504, 0, 65536
131072, 0, 0.9996, 0.00015252685546875, 0, 131072
262144, 0, 0.9996, 7.6263427734375e-05, 0, 262144
524288, 0, 0.9996, 3.81317138671875e-05, 0, 524288
1048576, 0, 0.9996, 1.906585693359375e-05, 0, 1048576
2097152, 0, 0.9996, 9.532928466796875e-06, 0, 2097152
4194304, 0, 0.9996, 4.766464233398438e-06, 0, 4194304
8388608, 0, 0.9996, 2.383232116699219e-06, 0, 8388608
16777216, 0, 0.9996, 1.1916160583496094e-06, 0, 16777216
33554432, 0, 0.9996, 5.958080291748047e-07, 0, 33554432
67108864, 0, 0.9996, 2.9790401458740236e-07, 0, 67108864
134217728, 0, 0.9996, 1.4895200729370118e-07, 0, 134217728
