# load the base data ../data/sift100m/sift100m_base.fvecs, 
# load the queries ../data/sift100m/sift100m_query.fvecs, 
# load the ground truth ../data/sift100m/20_sift100m_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 0,  residual average norm : 0.5299328565597534 max norm: 0.8055344223976135 min norm: 0.14948175847530365
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 1,  residual average norm : 0.458024263381958 max norm: 0.7121087908744812 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 2,  residual average norm : 0.4138910472393036 max norm: 0.6579088568687439 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 3,  residual average norm : 0.38262635469436646 max norm: 0.6211936473846436 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 4,  residual average norm : 0.35770925879478455 max norm: 0.5839604139328003 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 5,  residual average norm : 0.3370457887649536 max norm: 0.5554950833320618 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 6,  residual average norm : 0.3209521174430847 max norm: 0.5345995426177979 min norm: 0.0
# compress items
# sorting items
calculate norm.
allocate memory
allocate memory
calculate norm.
allocate memory
allocate memory
calculate norm.
allocate memory
allocate memory
calculate norm.
allocate memory
allocate memory
calculate norm.
allocate memory
allocate memory
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.018850000000000002, 0.37700000000000006, 0, 1
2, 0, 0.03465, 0.34650000000000003, 0, 2
4, 0, 0.05975, 0.29874999999999996, 0, 4
8, 0, 0.10135000000000001, 0.253375, 0, 8
16, 0, 0.15819999999999998, 0.19774999999999998, 0, 16
32, 0, 0.238, 0.14875, 0, 32
64, 0, 0.3456, 0.10800000000000001, 0, 64
128, 0, 0.47329999999999994, 0.073953125, 0, 128
256, 0, 0.60945, 0.04761328125, 0, 256
512, 0, 0.7316, 0.028578125000000003, 0, 512
1024, 0, 0.8354, 0.016316406250000002, 0, 1024
2048, 0, 0.9098999999999999, 0.0088857421875, 0, 2048
4096, 0, 0.9555499999999999, 0.004665771484374999, 0, 4096
8192, 0, 0.9809499999999999, 0.0023948974609374995, 0, 8192
16384, 0, 0.9924, 0.00121142578125, 0, 16384
32768, 0, 0.9977, 0.00060894775390625, 0, 32768
65536, 0, 0.9993000000000001, 0.000304962158203125, 0, 65536
131072, 0, 0.9998499999999999, 0.00015256500244140625, 0, 131072
262144, 0, 0.9998499999999999, 7.628250122070312e-05, 0, 262144
524288, 0, 0.9998499999999999, 3.814125061035156e-05, 0, 524288
1048576, 0, 0.9998499999999999, 1.907062530517578e-05, 0, 1048576
2097152, 0, 0.9998499999999999, 9.53531265258789e-06, 0, 2097152
4194304, 0, 0.9998499999999999, 4.767656326293945e-06, 0, 4194304
8388608, 0, 0.9998499999999999, 2.3838281631469726e-06, 0, 8388608
16777216, 0, 0.9998499999999999, 1.1919140815734863e-06, 0, 16777216
33554432, 0, 0.9998499999999999, 5.959570407867432e-07, 0, 33554432
67108864, 0, 0.9998499999999999, 2.979785203933716e-07, 0, 67108864
134217728, 0, 0.9998499999999999, 1.489892601966858e-07, 0, 134217728
