# load the base data ../data/sift100m/sift100m_base.fvecs, 
# load the queries ../data/sift100m/sift100m_query.fvecs, 
# load the ground truth ../data/sift100m/20_sift100m_product_groundtruth.ivecs
# ranking metric product
# ORQ, RQ : [Subspace PQ, M: 8, Ks : 256, code_dtype: <class 'numpy.uint8'>],  M: 8, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 8, 0 -> 16
#    Training the subspace: 1 / 8, 16 -> 32
#    Training the subspace: 2 / 8, 32 -> 48
#    Training the subspace: 3 / 8, 48 -> 64
#    Training the subspace: 4 / 8, 64 -> 80
#    Training the subspace: 5 / 8, 80 -> 96
#    Training the subspace: 6 / 8, 96 -> 112
#    Training the subspace: 7 / 8, 112 -> 128
# layer: 0,  residual average norm : 153.7410125732422 max norm: 267.9373779296875 min norm: 50.1207389831543
# layer: 0,  residual average norm : 153.7410125732422 max norm: 267.93743896484375 min norm: 50.12077331542969
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.00515, 0.10300000000000001, 0, 1
2, 0, 0.00945, 0.0945, 0, 2
4, 0, 0.01565, 0.07825, 0, 4
8, 0, 0.0256, 0.064, 0, 8
16, 0, 0.04235, 0.0529375, 0, 16
32, 0, 0.06385, 0.039906250000000004, 0, 32
64, 0, 0.09809999999999999, 0.030656249999999996, 0, 64
128, 0, 0.14295, 0.0223359375, 0, 128
256, 0, 0.20685000000000003, 0.016160156250000002, 0, 256
512, 0, 0.285, 0.011132812499999999, 0, 512
1024, 0, 0.3793, 0.007408203125, 0, 1024
2048, 0, 0.4878, 0.004763671875, 0, 2048
4096, 0, 0.5995499999999999, 0.0029274902343749995, 0, 4096
8192, 0, 0.7021499999999999, 0.0017142333984375, 0, 8192
16384, 0, 0.79765, 0.00097369384765625, 0, 16384
32768, 0, 0.87365, 0.000533233642578125, 0, 32768
65536, 0, 0.92775, 0.0002831268310546875, 0, 65536
131072, 0, 0.96325, 0.00014698028564453125, 0, 131072
262144, 0, 0.96325, 7.349014282226563e-05, 0, 262144
524288, 0, 0.96325, 3.6745071411132814e-05, 0, 524288
1048576, 0, 0.96325, 1.8372535705566407e-05, 0, 1048576
2097152, 0, 0.96325, 9.186267852783203e-06, 0, 2097152
4194304, 0, 0.96325, 4.593133926391602e-06, 0, 4194304
8388608, 0, 0.96325, 2.296566963195801e-06, 0, 8388608
16777216, 0, 0.96325, 1.1482834815979004e-06, 0, 16777216
33554432, 0, 0.96325, 5.741417407989502e-07, 0, 33554432
67108864, 0, 0.96325, 2.870708703994751e-07, 0, 67108864
134217728, 0, 0.96325, 1.4353543519973755e-07, 0, 134217728
