# load the base data ../data/sift100m/sift100m_base.fvecs, 
# load the queries ../data/sift100m/sift100m_query.fvecs, 
# load the ground truth ../data/sift100m/20_sift100m_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 8, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 8, 0 -> 16
#    Training the subspace: 1 / 8, 16 -> 32
#    Training the subspace: 2 / 8, 32 -> 48
#    Training the subspace: 3 / 8, 48 -> 64
#    Training the subspace: 4 / 8, 64 -> 80
#    Training the subspace: 5 / 8, 80 -> 96
#    Training the subspace: 6 / 8, 96 -> 112
#    Training the subspace: 7 / 8, 112 -> 128
# layer: 0,  residual average norm : 159.1437225341797 max norm: 278.84320068359375 min norm: 51.18410110473633
# compress items
# sorting items
calculate norm.
allocate memory
allocate memory
calculate norm.
allocate memory
allocate memory
calculate norm.
allocate memory
allocate memory
calculate norm.
allocate memory
allocate memory
calculate norm.
allocate memory
allocate memory
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.00455, 0.091, 0, 1
2, 0, 0.007850000000000001, 0.07850000000000001, 0, 2
4, 0, 0.013850000000000001, 0.06925, 0, 4
8, 0, 0.02175, 0.05437499999999999, 0, 8
16, 0, 0.03475, 0.043437500000000004, 0, 16
32, 0, 0.053950000000000005, 0.033718750000000006, 0, 32
64, 0, 0.08215, 0.025671875, 0, 64
128, 0, 0.12434999999999999, 0.019429687499999997, 0, 128
256, 0, 0.17695, 0.013824218749999999, 0, 256
512, 0, 0.2471, 0.00965234375, 0, 512
1024, 0, 0.33175000000000004, 0.006479492187500001, 0, 1024
2048, 0, 0.4325, 0.0042236328125, 0, 2048
4096, 0, 0.5395, 0.00263427734375, 0, 4096
8192, 0, 0.64545, 0.0015758056640624999, 0, 8192
16384, 0, 0.74505, 0.00090948486328125, 0, 16384
32768, 0, 0.83125, 0.000507354736328125, 0, 32768
65536, 0, 0.8936999999999999, 0.000272735595703125, 0, 65536
131072, 0, 0.942, 0.00014373779296875, 0, 131072
262144, 0, 0.942, 7.1868896484375e-05, 0, 262144
524288, 0, 0.942, 3.59344482421875e-05, 0, 524288
1048576, 0, 0.942, 1.796722412109375e-05, 0, 1048576
2097152, 0, 0.942, 8.983612060546875e-06, 0, 2097152
4194304, 0, 0.942, 4.4918060302734375e-06, 0, 4194304
8388608, 0, 0.942, 2.2459030151367187e-06, 0, 8388608
16777216, 0, 0.942, 1.1229515075683594e-06, 0, 16777216
33554432, 0, 0.942, 5.614757537841797e-07, 0, 33554432
67108864, 0, 0.942, 2.8073787689208984e-07, 0, 67108864
134217728, 0, 0.942, 1.4036893844604492e-07, 0, 134217728
