# load the base data ../data/sift100m/sift100m_base.fvecs, 
# load the queries ../data/sift100m/sift100m_query.fvecs, 
# load the ground truth ../data/sift100m/5_sift100m_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 0,  residual average norm : 271.0462951660156 max norm: 435.2031555175781 min norm: 69.10726928710938
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 1,  residual average norm : 234.21827697753906 max norm: 367.3070068359375 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 2,  residual average norm : 211.5290985107422 max norm: 347.0196838378906 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 3,  residual average norm : 195.01083374023438 max norm: 324.4926452636719 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 4,  residual average norm : 181.9425811767578 max norm: 310.5679931640625 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 5,  residual average norm : 171.24537658691406 max norm: 293.8828430175781 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 6,  residual average norm : 162.08192443847656 max norm: 283.1855773925781 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 7,  residual average norm : 154.08941650390625 max norm: 263.30206298828125 min norm: 0.0
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.010799999999999999, 0.05399999999999999, 0, 1
2, 0, 0.0192, 0.047999999999999994, 0, 2
4, 0, 0.030800000000000004, 0.038500000000000006, 0, 4
8, 0, 0.0504, 0.0315, 0, 8
16, 0, 0.081, 0.0253125, 0, 16
32, 0, 0.117, 0.018281250000000002, 0, 32
64, 0, 0.1698, 0.013265625, 0, 64
128, 0, 0.24039999999999997, 0.009390625, 0, 128
256, 0, 0.328, 0.0064062500000000005, 0, 256
512, 0, 0.43320000000000003, 0.004230468750000001, 0, 512
1024, 0, 0.5438, 0.0026552734375, 0, 1024
2048, 0, 0.6544, 0.00159765625, 0, 2048
4096, 0, 0.7602000000000001, 0.0009279785156250001, 0, 4096
8192, 0, 0.8436000000000001, 0.0005148925781250001, 0, 8192
16384, 0, 0.9076000000000001, 0.0002769775390625, 0, 16384
32768, 0, 0.9528, 0.0001453857421875, 0, 32768
65536, 0, 0.9782, 7.46307373046875e-05, 0, 65536
131072, 0, 0.9914000000000001, 3.7818908691406256e-05, 0, 131072
262144, 0, 0.9914000000000001, 1.8909454345703128e-05, 0, 262144
524288, 0, 0.9914000000000001, 9.454727172851564e-06, 0, 524288
1048576, 0, 0.9914000000000001, 4.727363586425782e-06, 0, 1048576
2097152, 0, 0.9914000000000001, 2.363681793212891e-06, 0, 2097152
4194304, 0, 0.9914000000000001, 1.1818408966064455e-06, 0, 4194304
8388608, 0, 0.9914000000000001, 5.909204483032227e-07, 0, 8388608
16777216, 0, 0.9914000000000001, 2.9546022415161137e-07, 0, 16777216
33554432, 0, 0.9914000000000001, 1.4773011207580569e-07, 0, 33554432
67108864, 0, 0.9914000000000001, 7.386505603790284e-08, 0, 67108864
134217728, 0, 0.9914000000000001, 3.693252801895142e-08, 0, 134217728
