# load the base data ../data/sift1m/sift1m_base.fvecs, 
# load the queries ../data/sift1m/sift1m_query.fvecs, 
# load the ground truth ../data/sift1m/20_sift1m_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: ORQ, RQ : [Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>],  M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 128
# layer: 0,  residual average norm : 0.46881863474845886 max norm: 0.8521403074264526 min norm: 0.16265332698822021
# layer: 0,  residual average norm : 0.46881863474845886 max norm: 0.8521403074264526 min norm: 0.16265331208705902
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.00035000000000000005, 0.007000000000000001, 0, 1
2, 0, 0.00055, 0.0055000000000000005, 0, 2
4, 0, 0.00095, 0.00475, 0, 4
8, 0, 0.0018499999999999999, 0.004625, 0, 8
16, 0, 0.0036999999999999997, 0.004625, 0, 16
32, 0, 0.007149999999999999, 0.00446875, 0, 32
64, 0, 0.0132, 0.004125, 0, 64
128, 0, 0.02585, 0.0040390625, 0, 128
256, 0, 0.047700000000000006, 0.0037265625000000007, 0, 256
512, 0, 0.08970000000000002, 0.0035039062500000005, 0, 512
1024, 0, 0.1662, 0.00324609375, 0, 1024
2048, 0, 0.29914999999999997, 0.00292138671875, 0, 2048
4096, 0, 0.4922500000000001, 0.0024035644531250006, 0, 4096
8192, 0, 0.68565, 0.0016739501953125, 0, 8192
16384, 0, 0.8381, 0.0010230712890625, 0, 16384
32768, 0, 0.9410999999999999, 0.00057440185546875, 0, 32768
65536, 0, 0.9868000000000001, 0.00030114746093750006, 0, 65536
131072, 0, 0.9984499999999998, 0.00015235137939453123, 0, 131072
262144, 0, 0.9984499999999998, 7.617568969726562e-05, 0, 262144
524288, 0, 0.9984499999999998, 3.808784484863281e-05, 0, 524288
1048576, 0, 0.9984499999999998, 1.9043922424316404e-05, 0, 1048576
