# load the base data ../data/sift1m/sift1m_base.fvecs, 
# load the queries ../data/sift1m/sift1m_query.fvecs, 
# load the ground truth ../data/sift1m/20_sift1m_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: ORQ, RQ : [Subspace PQ, M: 3, Ks : 256, code_dtype: <class 'numpy.uint8'>],  M: 3, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 3, 0 -> 43
#    Training the subspace: 1 / 3, 43 -> 86
#    Training the subspace: 2 / 3, 86 -> 128
# layer: 0,  residual average norm : 0.392175555229187 max norm: 0.7308768033981323 min norm: 0.12739327549934387
# layer: 0,  residual average norm : 0.392175555229187 max norm: 0.7308766841888428 min norm: 0.12739326059818268
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.02795, 0.5589999999999999, 0, 1
2, 0, 0.0452, 0.45199999999999996, 0, 2
4, 0, 0.06805, 0.34025, 0, 4
8, 0, 0.10065, 0.251625, 0, 8
16, 0, 0.14385000000000003, 0.17981250000000004, 0, 16
32, 0, 0.20375, 0.12734374999999998, 0, 32
64, 0, 0.2825, 0.08828124999999999, 0, 64
128, 0, 0.38725, 0.060507812499999994, 0, 128
256, 0, 0.51325, 0.04009765625, 0, 256
512, 0, 0.6425, 0.02509765625, 0, 512
1024, 0, 0.77535, 0.0151435546875, 0, 1024
2048, 0, 0.8815999999999999, 0.008609374999999999, 0, 2048
4096, 0, 0.9480999999999999, 0.00462939453125, 0, 4096
8192, 0, 0.9813, 0.0023957519531249997, 0, 8192
16384, 0, 0.9947499999999999, 0.00121429443359375, 0, 16384
32768, 0, 0.9986999999999999, 0.0006095581054687499, 0, 32768
65536, 0, 0.9999, 0.000305145263671875, 0, 65536
131072, 0, 1.0, 0.000152587890625, 0, 131072
262144, 0, 1.0, 7.62939453125e-05, 0, 262144
524288, 0, 1.0, 3.814697265625e-05, 0, 524288
1048576, 0, 1.0, 1.9073486328125e-05, 0, 1048576
