# load the base data ../data/sift1m/sift1m_base.fvecs, 
# load the queries ../data/sift1m/sift1m_query.fvecs, 
# load the ground truth ../data/sift1m/20_sift1m_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: ORQ, RQ : [Subspace PQ, M: 7, Ks : 256, code_dtype: <class 'numpy.uint8'>],  M: 7, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 7, 0 -> 19
#    Training the subspace: 1 / 7, 19 -> 38
#    Training the subspace: 2 / 7, 38 -> 56
#    Training the subspace: 3 / 7, 56 -> 74
#    Training the subspace: 4 / 7, 74 -> 92
#    Training the subspace: 5 / 7, 92 -> 110
#    Training the subspace: 6 / 7, 110 -> 128
# layer: 0,  residual average norm : 0.30902934074401855 max norm: 0.5932735204696655 min norm: 0.12463849782943726
# layer: 0,  residual average norm : 0.30902934074401855 max norm: 0.5932735800743103 min norm: 0.12463845312595367
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.04925, 0.9850000000000001, 0, 1
2, 0, 0.08869999999999999, 0.8869999999999999, 0, 2
4, 0, 0.14855, 0.7427499999999999, 0, 4
8, 0, 0.23360000000000003, 0.5840000000000001, 0, 8
16, 0, 0.34530000000000005, 0.43162500000000004, 0, 16
32, 0, 0.4842, 0.30262500000000003, 0, 32
64, 0, 0.63075, 0.197109375, 0, 64
128, 0, 0.7681, 0.120015625, 0, 128
256, 0, 0.8774999999999998, 0.06855468749999999, 0, 256
512, 0, 0.9455500000000001, 0.036935546875, 0, 512
1024, 0, 0.98125, 0.0191650390625, 0, 1024
2048, 0, 0.99545, 0.00972119140625, 0, 2048
4096, 0, 0.99905, 0.004878173828125, 0, 4096
8192, 0, 0.9999000000000001, 0.002441162109375, 0, 8192
16384, 0, 0.9999000000000001, 0.0012205810546875, 0, 16384
32768, 0, 1.0, 0.0006103515625, 0, 32768
65536, 0, 1.0, 0.00030517578125, 0, 65536
131072, 0, 1.0, 0.000152587890625, 0, 131072
262144, 0, 1.0, 7.62939453125e-05, 0, 262144
524288, 0, 1.0, 3.814697265625e-05, 0, 524288
1048576, 0, 1.0, 1.9073486328125e-05, 0, 1048576
