# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/1_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: Subspace PQ, M: 15, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 15, 0 -> 20
#    Training the subspace: 1 / 15, 20 -> 40
#    Training the subspace: 2 / 15, 40 -> 60
#    Training the subspace: 3 / 15, 60 -> 80
#    Training the subspace: 4 / 15, 80 -> 100
#    Training the subspace: 5 / 15, 100 -> 120
#    Training the subspace: 6 / 15, 120 -> 140
#    Training the subspace: 7 / 15, 140 -> 160
#    Training the subspace: 8 / 15, 160 -> 180
#    Training the subspace: 9 / 15, 180 -> 200
#    Training the subspace: 10 / 15, 200 -> 220
#    Training the subspace: 11 / 15, 220 -> 240
#    Training the subspace: 12 / 15, 240 -> 260
#    Training the subspace: 13 / 15, 260 -> 280
#    Training the subspace: 14 / 15, 280 -> 300
# layer: 0,  residual average norm : 0.2930438816547394 max norm: 0.6687048673629761 min norm: 0.11012967675924301
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.259, 0.259, 0, 1
2, 0, 0.384, 0.192, 0, 2
4, 0, 0.518, 0.1295, 0, 4
8, 0, 0.685, 0.085625, 0, 8
16, 0, 0.806, 0.050375, 0, 16
32, 0, 0.908, 0.028375, 0, 32
64, 0, 0.956, 0.0149375, 0, 64
128, 0, 0.981, 0.0076640625, 0, 128
256, 0, 0.993, 0.00387890625, 0, 256
512, 0, 0.999, 0.001951171875, 0, 512
1024, 0, 0.999, 0.0009755859375, 0, 1024
2048, 0, 1.0, 0.00048828125, 0, 2048
4096, 0, 1.0, 0.000244140625, 0, 4096
8192, 0, 1.0, 0.0001220703125, 0, 8192
16384, 0, 1.0, 6.103515625e-05, 0, 16384
32768, 0, 1.0, 3.0517578125e-05, 0, 32768
65536, 0, 1.0, 1.52587890625e-05, 0, 65536
131072, 0, 1.0, 7.62939453125e-06, 0, 131072
262144, 0, 1.0, 7.313362976831266e-06, 0, 136736
