# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/1_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# AQ, M: 2, Ks : 256, code_dtype: <class 'numpy.int32'>
# compress items
# Mean AQ quantization error: 0.260286
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.034, 0.034, 0, 1
2, 0, 0.053, 0.0265, 0, 2
4, 0, 0.079, 0.01975, 0, 4
8, 0, 0.13, 0.01625, 0, 8
16, 0, 0.205, 0.0128125, 0, 16
32, 0, 0.31, 0.0096875, 0, 32
64, 0, 0.453, 0.007078125, 0, 64
128, 0, 0.61, 0.004765625, 0, 128
256, 0, 0.763, 0.00298046875, 0, 256
512, 0, 0.887, 0.001732421875, 0, 512
1024, 0, 0.96, 0.0009375, 0, 1024
2048, 0, 0.988, 0.000482421875, 0, 2048
4096, 0, 0.999, 0.000243896484375, 0, 4096
8192, 0, 1.0, 0.0001220703125, 0, 8192
16384, 0, 1.0, 6.103515625e-05, 0, 16384
32768, 0, 1.0, 3.0517578125e-05, 0, 32768
65536, 0, 1.0, 1.52587890625e-05, 0, 65536
131072, 0, 1.0, 7.62939453125e-06, 0, 131072
262144, 0, 1.0, 7.313362976831266e-06, 0, 136736
