# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/1_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 0,  residual average norm : 0.31457194685935974 max norm: 0.7985012531280518 min norm: 0.06384017318487167
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.079, 0.079, 0, 1
2, 0, 0.133, 0.0665, 0, 2
4, 0, 0.207, 0.05175, 0, 4
8, 0, 0.343, 0.042875, 0, 8
16, 0, 0.504, 0.0315, 0, 16
32, 0, 0.644, 0.020125, 0, 32
64, 0, 0.767, 0.011984375, 0, 64
128, 0, 0.86, 0.00671875, 0, 128
256, 0, 0.931, 0.00363671875, 0, 256
512, 0, 0.97, 0.00189453125, 0, 512
1024, 0, 0.988, 0.00096484375, 0, 1024
2048, 0, 0.996, 0.000486328125, 0, 2048
4096, 0, 0.999, 0.000243896484375, 0, 4096
8192, 0, 1.0, 0.0001220703125, 0, 8192
16384, 0, 1.0, 6.103515625e-05, 0, 16384
32768, 0, 1.0, 3.0517578125e-05, 0, 32768
65536, 0, 1.0, 1.52587890625e-05, 0, 65536
131072, 0, 1.0, 7.62939453125e-06, 0, 131072
262144, 0, 1.0, 7.313362976831266e-06, 0, 136736
