# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/1_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# OPQ, M: 2, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 2, 0 -> 150
#    Training the subspace: 1 / 2, 150 -> 300
# layer: 0,  residual average norm : 0.5590537190437317 max norm: 1.7277878522872925 min norm: 0.11427273601293564
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.009, 0.009, 0, 1
2, 0, 0.019, 0.0095, 0, 2
4, 0, 0.026, 0.0065, 0, 4
8, 0, 0.054, 0.00675, 0, 8
16, 0, 0.09, 0.005625, 0, 16
32, 0, 0.181, 0.00565625, 0, 32
64, 0, 0.307, 0.004796875, 0, 64
128, 0, 0.44, 0.0034375, 0, 128
256, 0, 0.602, 0.0023515625, 0, 256
512, 0, 0.756, 0.0014765625, 0, 512
1024, 0, 0.877, 0.0008564453125, 0, 1024
2048, 0, 0.949, 0.00046337890625, 0, 2048
4096, 0, 0.991, 0.000241943359375, 0, 4096
8192, 0, 0.999, 0.0001219482421875, 0, 8192
16384, 0, 1.0, 6.103515625e-05, 0, 16384
32768, 0, 1.0, 3.0517578125e-05, 0, 32768
65536, 0, 1.0, 1.52587890625e-05, 0, 65536
131072, 0, 1.0, 7.62939453125e-06, 0, 131072
262144, 0, 1.0, 7.313362976831266e-06, 0, 136736
