# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/1_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: ORQ, RQ : Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>,  M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 0,  residual average norm : 0.3141910433769226 max norm: 0.7970467805862427 min norm: 0.06566444784402847
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 1,  residual average norm : 0.24139147996902466 max norm: 0.7424254417419434 min norm: 0.055705320090055466
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 2,  residual average norm : 0.2011948972940445 max norm: 0.7103429436683655 min norm: 0.04145645350217819
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.258, 0.258, 0, 1
2, 0, 0.402, 0.201, 0, 2
4, 0, 0.562, 0.1405, 0, 4
8, 0, 0.713, 0.089125, 0, 8
16, 0, 0.838, 0.052375, 0, 16
32, 0, 0.908, 0.028375, 0, 32
64, 0, 0.967, 0.015109375, 0, 64
128, 0, 0.981, 0.0076640625, 0, 128
256, 0, 0.997, 0.00389453125, 0, 256
512, 0, 0.997, 0.001947265625, 0, 512
1024, 0, 0.998, 0.000974609375, 0, 1024
2048, 0, 0.999, 0.00048779296875, 0, 2048
4096, 0, 1.0, 0.000244140625, 0, 4096
8192, 0, 1.0, 0.0001220703125, 0, 8192
16384, 0, 1.0, 6.103515625e-05, 0, 16384
32768, 0, 1.0, 3.0517578125e-05, 0, 32768
65536, 0, 1.0, 1.52587890625e-05, 0, 65536
131072, 0, 1.0, 7.62939453125e-06, 0, 131072
262144, 0, 1.0, 7.313362976831266e-06, 0, 136736
