# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/1_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# OPQ, M: 4, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 4, 0 -> 75
#    Training the subspace: 1 / 4, 75 -> 150
#    Training the subspace: 2 / 4, 150 -> 225
#    Training the subspace: 3 / 4, 225 -> 300
# layer: 0,  residual average norm : 0.4523766338825226 max norm: 1.6545469760894775 min norm: 0.11904457211494446
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.064, 0.064, 0, 1
2, 0, 0.111, 0.0555, 0, 2
4, 0, 0.186, 0.0465, 0, 4
8, 0, 0.278, 0.03475, 0, 8
16, 0, 0.401, 0.0250625, 0, 16
32, 0, 0.541, 0.01690625, 0, 32
64, 0, 0.676, 0.0105625, 0, 64
128, 0, 0.794, 0.006203125, 0, 128
256, 0, 0.897, 0.00350390625, 0, 256
512, 0, 0.952, 0.001859375, 0, 512
1024, 0, 0.986, 0.000962890625, 0, 1024
2048, 0, 0.992, 0.000484375, 0, 2048
4096, 0, 0.998, 0.00024365234375, 0, 4096
8192, 0, 1.0, 0.0001220703125, 0, 8192
16384, 0, 1.0, 6.103515625e-05, 0, 16384
32768, 0, 1.0, 3.0517578125e-05, 0, 32768
65536, 0, 1.0, 1.52587890625e-05, 0, 65536
131072, 0, 1.0, 7.62939453125e-06, 0, 131072
262144, 0, 1.0, 7.313362976831266e-06, 0, 136736
