# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/1_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# XPQ PQ, M: 2, quantizer : [<aq.AQ object at 0x7f002f878cc0>, <aq.AQ object at 0x7f002eea3b70>]
#    Training the XPQ subspace: 0 / 2, 0 -> 150
#    Training the XPQ subspace: 1 / 2, 150 -> 300
# compress items
# Mean AQ quantization error: 0.055270
# Mean AQ quantization error: 0.055226
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.176, 0.176, 0, 1
2, 0, 0.276, 0.138, 0, 2
4, 0, 0.399, 0.09975, 0, 4
8, 0, 0.528, 0.066, 0, 8
16, 0, 0.687, 0.0429375, 0, 16
32, 0, 0.818, 0.0255625, 0, 32
64, 0, 0.919, 0.014359375, 0, 64
128, 0, 0.957, 0.0074765625, 0, 128
256, 0, 0.981, 0.00383203125, 0, 256
512, 0, 0.995, 0.001943359375, 0, 512
1024, 0, 0.999, 0.0009755859375, 0, 1024
2048, 0, 1.0, 0.00048828125, 0, 2048
4096, 0, 1.0, 0.000244140625, 0, 4096
8192, 0, 1.0, 0.0001220703125, 0, 8192
16384, 0, 1.0, 6.103515625e-05, 0, 16384
32768, 0, 1.0, 3.0517578125e-05, 0, 32768
65536, 0, 1.0, 1.52587890625e-05, 0, 65536
131072, 0, 1.0, 7.62939453125e-06, 0, 131072
262144, 0, 1.0, 7.313362976831266e-06, 0, 136736
