# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/1_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: ORQ, RQ : Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>,  M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 0,  residual average norm : 0.3155710995197296 max norm: 0.7937561869621277 min norm: 0.06384016573429108
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 1,  residual average norm : 0.24192966520786285 max norm: 0.6880322694778442 min norm: 0.06711751967668533
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 2,  residual average norm : 0.20167212188243866 max norm: 0.6465402245521545 min norm: 0.0414564423263073
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 3,  residual average norm : 0.1736401915550232 max norm: 0.6141027212142944 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 4,  residual average norm : 0.15233446657657623 max norm: 0.5656481385231018 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 5,  residual average norm : 0.1351083517074585 max norm: 0.5412318110466003 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 6,  residual average norm : 0.12087497860193253 max norm: 0.5244717597961426 min norm: 0.0
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.446, 0.446, 0, 1
2, 0, 0.619, 0.3095, 0, 2
4, 0, 0.791, 0.19775, 0, 4
8, 0, 0.898, 0.11225, 0, 8
16, 0, 0.971, 0.0606875, 0, 16
32, 0, 0.991, 0.03096875, 0, 32
64, 0, 0.995, 0.015546875, 0, 64
128, 0, 0.999, 0.0078046875, 0, 128
256, 0, 1.0, 0.00390625, 0, 256
512, 0, 1.0, 0.001953125, 0, 512
1024, 0, 1.0, 0.0009765625, 0, 1024
2048, 0, 1.0, 0.00048828125, 0, 2048
4096, 0, 1.0, 0.000244140625, 0, 4096
8192, 0, 1.0, 0.0001220703125, 0, 8192
16384, 0, 1.0, 6.103515625e-05, 0, 16384
32768, 0, 1.0, 3.0517578125e-05, 0, 32768
65536, 0, 1.0, 1.52587890625e-05, 0, 65536
131072, 0, 1.0, 7.62939453125e-06, 0, 131072
262144, 0, 1.0, 7.313362976831266e-06, 0, 136736
