# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/1_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# OPQ, M: 8, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 8, 0 -> 38
#    Training the subspace: 1 / 8, 38 -> 76
#    Training the subspace: 2 / 8, 76 -> 114
#    Training the subspace: 3 / 8, 114 -> 152
#    Training the subspace: 4 / 8, 152 -> 189
#    Training the subspace: 5 / 8, 189 -> 226
#    Training the subspace: 6 / 8, 226 -> 263
#    Training the subspace: 7 / 8, 263 -> 300
# layer: 0,  residual average norm : 0.3525523841381073 max norm: 1.3588218688964844 min norm: 0.13394570350646973
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.158, 0.158, 0, 1
2, 0, 0.239, 0.1195, 0, 2
4, 0, 0.337, 0.08425, 0, 4
8, 0, 0.446, 0.05575, 0, 8
16, 0, 0.576, 0.036, 0, 16
32, 0, 0.697, 0.02178125, 0, 32
64, 0, 0.798, 0.01246875, 0, 64
128, 0, 0.885, 0.0069140625, 0, 128
256, 0, 0.938, 0.0036640625, 0, 256
512, 0, 0.969, 0.001892578125, 0, 512
1024, 0, 0.982, 0.000958984375, 0, 1024
2048, 0, 0.994, 0.0004853515625, 0, 2048
4096, 0, 0.997, 0.000243408203125, 0, 4096
8192, 0, 0.999, 0.0001219482421875, 0, 8192
16384, 0, 1.0, 6.103515625e-05, 0, 16384
32768, 0, 1.0, 3.0517578125e-05, 0, 32768
65536, 0, 1.0, 1.52587890625e-05, 0, 65536
131072, 0, 1.0, 7.62939453125e-06, 0, 131072
262144, 0, 1.0, 7.313362976831266e-06, 0, 136736
