# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/10_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: ORQ, RQ : [Subspace PQ, M: 15, Ks : 256, code_dtype: <class 'numpy.uint8'>],  M: 15, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 15, 0 -> 20
#    Training the subspace: 1 / 15, 20 -> 40
#    Training the subspace: 2 / 15, 40 -> 60
#    Training the subspace: 3 / 15, 60 -> 80
#    Training the subspace: 4 / 15, 80 -> 100
#    Training the subspace: 5 / 15, 100 -> 120
#    Training the subspace: 6 / 15, 120 -> 140
#    Training the subspace: 7 / 15, 140 -> 160
#    Training the subspace: 8 / 15, 160 -> 180
#    Training the subspace: 9 / 15, 180 -> 200
#    Training the subspace: 10 / 15, 200 -> 220
#    Training the subspace: 11 / 15, 220 -> 240
#    Training the subspace: 12 / 15, 240 -> 260
#    Training the subspace: 13 / 15, 260 -> 280
#    Training the subspace: 14 / 15, 280 -> 300
# layer: 0,  residual average norm : 0.11584988981485367 max norm: 0.45068538188934326 min norm: 0.0637519583106041
# layer: 0,  residual average norm : 0.11584988981485367 max norm: 0.4506853520870209 min norm: 0.06375197321176529
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0935, 0.935, 0, 1
2, 0, 0.1822, 0.911, 0, 2
4, 0, 0.34140000000000004, 0.8535000000000001, 0, 4
8, 0, 0.5911, 0.738875, 0, 8
16, 0, 0.8321999999999999, 0.520125, 0, 16
32, 0, 0.9492, 0.296625, 0, 32
64, 0, 0.9885999999999999, 0.15446875, 0, 64
128, 0, 0.9984999999999999, 0.0780078125, 0, 128
256, 0, 0.9997, 0.03905078125, 0, 256
512, 0, 0.9999, 0.019529296875, 0, 512
1024, 0, 1.0, 0.009765625, 0, 1024
2048, 0, 1.0, 0.0048828125, 0, 2048
4096, 0, 1.0, 0.00244140625, 0, 4096
8192, 0, 1.0, 0.001220703125, 0, 8192
16384, 0, 1.0, 0.0006103515625, 0, 16384
32768, 0, 1.0, 0.00030517578125, 0, 32768
65536, 0, 1.0, 0.000152587890625, 0, 65536
131072, 0, 1.0, 7.62939453125e-05, 0, 131072
262144, 0, 1.0, 7.313362976831266e-05, 0, 136736
