# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/10_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# ORQ, RQ : [Subspace PQ, M: 2, Ks : 256, code_dtype: <class 'numpy.uint8'>],  M: 2, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 2, 0 -> 150
#    Training the subspace: 1 / 2, 150 -> 300
# layer: 0,  residual average norm : 0.5589969754219055 max norm: 1.728606104850769 min norm: 0.11189001798629761
# layer: 0,  residual average norm : 0.5589969754219055 max norm: 1.728606104850769 min norm: 0.1118900254368782
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0082, 0.082, 0, 1
2, 0, 0.015999999999999997, 0.07999999999999999, 0, 2
4, 0, 0.0287, 0.07175, 0, 4
8, 0, 0.0505, 0.063125, 0, 8
16, 0, 0.08929999999999999, 0.055812499999999994, 0, 16
32, 0, 0.1646, 0.0514375, 0, 32
64, 0, 0.2684, 0.0419375, 0, 64
128, 0, 0.4169, 0.0325703125, 0, 128
256, 0, 0.5821000000000001, 0.022738281250000002, 0, 256
512, 0, 0.7329000000000001, 0.014314453125000001, 0, 512
1024, 0, 0.8569000000000001, 0.0083681640625, 0, 1024
2048, 0, 0.9404, 0.004591796875, 0, 2048
4096, 0, 0.98, 0.002392578125, 0, 4096
8192, 0, 0.9957, 0.0012154541015625, 0, 8192
16384, 0, 0.9997999999999999, 0.0006102294921875, 0, 16384
32768, 0, 1.0, 0.00030517578125, 0, 32768
65536, 0, 1.0, 0.000152587890625, 0, 65536
131072, 0, 1.0, 7.62939453125e-05, 0, 131072
262144, 0, 1.0, 3.814697265625e-05, 0, 262144
