# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/10_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: Subspace PQ, M: 3, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 3, 0 -> 100
#    Training the subspace: 1 / 3, 100 -> 200
#    Training the subspace: 2 / 3, 200 -> 300
# layer: 0,  residual average norm : 0.3134571313858032 max norm: 0.7723667025566101 min norm: 0.0967952311038971
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.04449999999999999, 0.4449999999999999, 0, 1
2, 0, 0.08519999999999998, 0.42599999999999993, 0, 2
4, 0, 0.15159999999999998, 0.37899999999999995, 0, 4
8, 0, 0.24639999999999998, 0.308, 0, 8
16, 0, 0.3724, 0.23275, 0, 16
32, 0, 0.5343000000000001, 0.16696875000000003, 0, 32
64, 0, 0.6988, 0.10918749999999999, 0, 64
128, 0, 0.8329, 0.0650703125, 0, 128
256, 0, 0.9230999999999999, 0.03605859375, 0, 256
512, 0, 0.9699000000000001, 0.018943359375000003, 0, 512
1024, 0, 0.991, 0.009677734375, 0, 1024
2048, 0, 0.9969, 0.00486767578125, 0, 2048
4096, 0, 0.9994000000000001, 0.00243994140625, 0, 4096
8192, 0, 0.9999, 0.0012205810546875, 0, 8192
16384, 0, 1.0, 0.0006103515625, 0, 16384
32768, 0, 1.0, 0.00030517578125, 0, 32768
65536, 0, 1.0, 0.000152587890625, 0, 65536
131072, 0, 1.0, 7.62939453125e-05, 0, 131072
262144, 0, 1.0, 3.814697265625e-05, 0, 262144
