# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/10_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 0,  residual average norm : 0.31513598561286926 max norm: 0.8053091764450073 min norm: 0.08149206638336182
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 1,  residual average norm : 0.2417791336774826 max norm: 0.7417517900466919 min norm: 0.0414564423263073
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 2,  residual average norm : 0.20153555274009705 max norm: 0.7147493362426758 min norm: 0.0
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.06130000000000001, 0.6130000000000001, 0, 1
2, 0, 0.11569999999999998, 0.5784999999999999, 0, 2
4, 0, 0.209, 0.5225, 0, 4
8, 0, 0.3478, 0.43474999999999997, 0, 8
16, 0, 0.5171, 0.3231875, 0, 16
32, 0, 0.7011000000000001, 0.21909375000000003, 0, 32
64, 0, 0.8524, 0.13318750000000001, 0, 64
128, 0, 0.9391999999999999, 0.073375, 0, 128
256, 0, 0.9812000000000001, 0.038328125000000005, 0, 256
512, 0, 0.994, 0.0194140625, 0, 512
1024, 0, 0.9983, 0.0097490234375, 0, 1024
2048, 0, 0.9997999999999999, 0.0048818359375, 0, 2048
4096, 0, 0.9997999999999999, 0.00244091796875, 0, 4096
8192, 0, 0.9999, 0.0012205810546875, 0, 8192
16384, 0, 1.0, 0.0006103515625, 0, 16384
32768, 0, 1.0, 0.00030517578125, 0, 32768
65536, 0, 1.0, 0.000152587890625, 0, 65536
131072, 0, 1.0, 7.62939453125e-05, 0, 131072
262144, 0, 1.0, 3.814697265625e-05, 0, 262144
