# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/10_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# ORQ, RQ : [Subspace PQ, M: 4, Ks : 256, code_dtype: <class 'numpy.uint8'>],  M: 4, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 4, 0 -> 75
#    Training the subspace: 1 / 4, 75 -> 150
#    Training the subspace: 2 / 4, 150 -> 225
#    Training the subspace: 3 / 4, 225 -> 300
# layer: 0,  residual average norm : 0.4525195360183716 max norm: 1.6605861186981201 min norm: 0.12105913460254669
# layer: 0,  residual average norm : 0.4525195360183716 max norm: 1.6605861186981201 min norm: 0.12105917185544968
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0283, 0.283, 0, 1
2, 0, 0.054299999999999994, 0.27149999999999996, 0, 2
4, 0, 0.0945, 0.23625000000000002, 0, 4
8, 0, 0.1579, 0.19737500000000002, 0, 8
16, 0, 0.2605, 0.1628125, 0, 16
32, 0, 0.39120000000000005, 0.12225000000000001, 0, 32
64, 0, 0.5428999999999999, 0.08482812499999999, 0, 64
128, 0, 0.6986999999999999, 0.05458593749999999, 0, 128
256, 0, 0.8327, 0.03252734375, 0, 256
512, 0, 0.9312999999999999, 0.018189453124999998, 0, 512
1024, 0, 0.978, 0.00955078125, 0, 1024
2048, 0, 0.9931, 0.00484912109375, 0, 2048
4096, 0, 0.9983, 0.002437255859375, 0, 4096
8192, 0, 0.9994000000000001, 0.001219970703125, 0, 8192
16384, 0, 0.9999, 0.00061029052734375, 0, 16384
32768, 0, 1.0, 0.00030517578125, 0, 32768
65536, 0, 1.0, 0.000152587890625, 0, 65536
131072, 0, 1.0, 7.62939453125e-05, 0, 131072
262144, 0, 1.0, 3.814697265625e-05, 0, 262144
