# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/10_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 4, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 4, 0 -> 75
#    Training the subspace: 1 / 4, 75 -> 150
#    Training the subspace: 2 / 4, 150 -> 225
#    Training the subspace: 3 / 4, 225 -> 300
# layer: 0,  residual average norm : 0.6317369341850281 max norm: 1.8080518245697021 min norm: 0.13671882450580597
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0073, 0.073, 0, 1
2, 0, 0.013300000000000001, 0.0665, 0, 2
4, 0, 0.021799999999999996, 0.05449999999999999, 0, 4
8, 0, 0.0399, 0.049874999999999996, 0, 8
16, 0, 0.0736, 0.046, 0, 16
32, 0, 0.1276, 0.039874999999999994, 0, 32
64, 0, 0.20970000000000003, 0.03276562500000001, 0, 64
128, 0, 0.3235, 0.025273437500000002, 0, 128
256, 0, 0.49410000000000004, 0.019300781250000003, 0, 256
512, 0, 0.6799000000000001, 0.013279296875, 0, 512
1024, 0, 0.8325999999999999, 0.008130859374999999, 0, 1024
2048, 0, 0.9272999999999999, 0.00452783203125, 0, 2048
4096, 0, 0.9794, 0.00239111328125, 0, 4096
8192, 0, 0.9966999999999999, 0.0012166748046874998, 0, 8192
16384, 0, 0.9996999999999999, 0.00061016845703125, 0, 16384
32768, 0, 1.0, 0.00030517578125, 0, 32768
65536, 0, 1.0, 0.000152587890625, 0, 65536
131072, 0, 1.0, 7.62939453125e-05, 0, 131072
262144, 0, 1.0, 3.814697265625e-05, 0, 262144
