# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/10_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 0,  residual average norm : 0.6391756534576416 max norm: 1.8924050331115723 min norm: 0.11771544814109802
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 1,  residual average norm : 0.49063166975975037 max norm: 1.726769208908081 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 2,  residual average norm : 0.40871700644493103 max norm: 1.659913420677185 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 3,  residual average norm : 0.35121211409568787 max norm: 1.3380235433578491 min norm: 0.0
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0579, 0.579, 0, 1
2, 0, 0.10520000000000002, 0.526, 0, 2
4, 0, 0.182, 0.45499999999999996, 0, 4
8, 0, 0.2943, 0.367875, 0, 8
16, 0, 0.4455, 0.2784375, 0, 16
32, 0, 0.6080999999999999, 0.19003124999999996, 0, 32
64, 0, 0.7595999999999999, 0.11868749999999999, 0, 64
128, 0, 0.8735, 0.06824218750000001, 0, 128
256, 0, 0.945, 0.0369140625, 0, 256
512, 0, 0.9787, 0.019115234375, 0, 512
1024, 0, 0.9913, 0.0096806640625, 0, 1024
2048, 0, 0.9975, 0.004870605468750001, 0, 2048
4096, 0, 0.9996999999999999, 0.002440673828125, 0, 4096
8192, 0, 0.9999, 0.0012205810546875, 0, 8192
16384, 0, 1.0, 0.0006103515625, 0, 16384
32768, 0, 1.0, 0.00030517578125, 0, 32768
65536, 0, 1.0, 0.000152587890625, 0, 65536
131072, 0, 1.0, 7.62939453125e-05, 0, 131072
262144, 0, 1.0, 3.814697265625e-05, 0, 262144
