# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/10_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: AQ, M: 7, Ks : 256, code_dtype: <class 'numpy.int32'>
# Mean AQ quantization error: 0.013056
# compress items
# Mean AQ quantization error: 0.013290
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.09190000000000001, 0.919, 0, 1
2, 0, 0.17810000000000004, 0.8905000000000002, 0, 2
4, 0, 0.33, 0.8250000000000001, 0, 4
8, 0, 0.5604, 0.7005, 0, 8
16, 0, 0.7962999999999998, 0.49768749999999984, 0, 16
32, 0, 0.9416, 0.29425, 0, 32
64, 0, 0.9882000000000001, 0.15440625000000002, 0, 64
128, 0, 0.9967, 0.0778671875, 0, 128
256, 0, 0.9989, 0.03901953125, 0, 256
512, 0, 0.9995999999999999, 0.019523437499999997, 0, 512
1024, 0, 0.9999, 0.0097646484375, 0, 1024
2048, 0, 1.0, 0.0048828125, 0, 2048
4096, 0, 1.0, 0.00244140625, 0, 4096
8192, 0, 1.0, 0.001220703125, 0, 8192
16384, 0, 1.0, 0.0006103515625, 0, 16384
32768, 0, 1.0, 0.00030517578125, 0, 32768
65536, 0, 1.0, 0.000152587890625, 0, 65536
131072, 0, 1.0, 7.62939453125e-05, 0, 131072
262144, 0, 1.0, 3.814697265625e-05, 0, 262144
