# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/10_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 0,  residual average norm : 0.31513598561286926 max norm: 0.8053091764450073 min norm: 0.08149206638336182
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 1,  residual average norm : 0.2417791336774826 max norm: 0.7417517900466919 min norm: 0.0414564423263073
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 2,  residual average norm : 0.20153555274009705 max norm: 0.7147493362426758 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 3,  residual average norm : 0.17354628443717957 max norm: 0.6515963673591614 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 4,  residual average norm : 0.15218861401081085 max norm: 0.629899799823761 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 5,  residual average norm : 0.13503216207027435 max norm: 0.5069466829299927 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 6,  residual average norm : 0.12084200233221054 max norm: 0.4863525629043579 min norm: 0.0
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.08779999999999999, 0.8779999999999999, 0, 1
2, 0, 0.17, 0.8500000000000001, 0, 2
4, 0, 0.31760000000000005, 0.7940000000000002, 0, 4
8, 0, 0.5487000000000001, 0.6858750000000001, 0, 8
16, 0, 0.7807, 0.48793749999999997, 0, 16
32, 0, 0.925, 0.2890625, 0, 32
64, 0, 0.9806999999999999, 0.15323437499999998, 0, 64
128, 0, 0.995, 0.077734375, 0, 128
256, 0, 0.9987, 0.03901171875, 0, 256
512, 0, 0.9997999999999999, 0.01952734375, 0, 512
1024, 0, 0.9999, 0.0097646484375, 0, 1024
2048, 0, 1.0, 0.0048828125, 0, 2048
4096, 0, 1.0, 0.00244140625, 0, 4096
8192, 0, 1.0, 0.001220703125, 0, 8192
16384, 0, 1.0, 0.0006103515625, 0, 16384
32768, 0, 1.0, 0.00030517578125, 0, 32768
65536, 0, 1.0, 0.000152587890625, 0, 65536
131072, 0, 1.0, 7.62939453125e-05, 0, 131072
262144, 0, 1.0, 3.814697265625e-05, 0, 262144
