# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/20_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# XPQ PQ, M: 2, quantizer : [<aq.AQ object at 0x7f873b7999b0>, <aq.AQ object at 0x7f8725aadba8>]
#    Training the XPQ subspace: 0 / 2, 0 -> 150
#    Training the XPQ subspace: 1 / 2, 150 -> 300
# compress items
# Mean AQ quantization error: 0.020226
# Mean AQ quantization error: 0.020679
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.04825, 0.9650000000000001, 0, 1
2, 0, 0.09485, 0.9485, 0, 2
4, 0, 0.1842, 0.921, 0, 4
8, 0, 0.34235000000000004, 0.8558750000000002, 0, 8
16, 0, 0.57875, 0.7234375, 0, 16
32, 0, 0.80695, 0.50434375, 0, 32
64, 0, 0.93475, 0.292109375, 0, 64
128, 0, 0.9814999999999999, 0.153359375, 0, 128
256, 0, 0.9957499999999999, 0.07779296875, 0, 256
512, 0, 0.99895, 0.039021484375, 0, 512
1024, 0, 0.9997, 0.019525390625, 0, 1024
2048, 0, 0.9999, 0.0097646484375, 0, 2048
4096, 0, 0.9999499999999999, 0.004882568359375, 0, 4096
8192, 0, 1.0, 0.00244140625, 0, 8192
16384, 0, 1.0, 0.001220703125, 0, 16384
32768, 0, 1.0, 0.0006103515625, 0, 32768
65536, 0, 1.0, 0.00030517578125, 0, 65536
131072, 0, 1.0, 0.000152587890625, 0, 131072
262144, 0, 1.0, 0.00014626725953662532, 0, 136736
