# load the base data ../data/yahoomusic/yahoomusic_base.fvecs,
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs,
# load the ground truth ../data/yahoomusic/20_yahoomusic_product_groundtruth.ivecs
#    Training the subspace: 0 / 1, 0 -> 300
100%|██████████| 20/20 [00:04<00:00,  4.53it/s]
100%|██████████| 20/20 [00:01<00:00, 15.77it/s]
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.012, 0.24, 0, 1
2, 0, 0.016050000000000002, 0.16050000000000003, 0, 2
4, 0, 0.01915, 0.09575, 0, 4
8, 0, 0.02325, 0.058124999999999996, 0, 8
16, 0, 0.03395, 0.0424375, 0, 16
32, 0, 0.0889, 0.0555625, 0, 32
64, 0, 0.13335, 0.041671875, 0, 64
128, 0, 0.16285, 0.025445312499999997, 0, 128
256, 0, 0.24255, 0.01894921875, 0, 256
512, 0, 0.38255, 0.014943359375, 0, 512
1024, 0, 0.55275, 0.0107958984375, 0, 1024
2048, 0, 0.68945, 0.00673291015625, 0, 2048
4096, 0, 0.79995, 0.003906005859375, 0, 4096
8192, 0, 0.8893000000000001, 0.002171142578125, 0, 8192
16384, 0, 0.9494999999999999, 0.0011590576171875, 0, 16384
32768, 0, 0.98765, 0.000602813720703125, 0, 32768
65536, 0, 0.9991, 0.000304901123046875, 0, 65536
131072, 0, 1.0, 0.000152587890625, 0, 131072
