# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/20_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 0,  residual average norm : 0.6391756534576416 max norm: 1.8924050331115723 min norm: 0.11771544814109802
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0013, 0.026, 0, 1
2, 0, 0.00265, 0.0265, 0, 2
4, 0, 0.005050000000000001, 0.02525, 0, 4
8, 0, 0.0094, 0.0235, 0, 8
16, 0, 0.01875, 0.0234375, 0, 16
32, 0, 0.0377, 0.0235625, 0, 32
64, 0, 0.0762, 0.0238125, 0, 64
128, 0, 0.15555000000000002, 0.024304687500000005, 0, 128
256, 0, 0.30435, 0.02377734375, 0, 256
512, 0, 0.5025999999999999, 0.0196328125, 0, 512
1024, 0, 0.6947, 0.013568359375, 0, 1024
2048, 0, 0.84365, 0.00823876953125, 0, 2048
4096, 0, 0.9379, 0.00457958984375, 0, 4096
8192, 0, 0.98445, 0.0024034423828125, 0, 8192
16384, 0, 0.9972, 0.00121728515625, 0, 16384
32768, 0, 0.99975, 0.000610198974609375, 0, 32768
65536, 0, 1.0, 0.00030517578125, 0, 65536
131072, 0, 1.0, 0.000152587890625, 0, 131072
262144, 0, 1.0, 0.00014626725953662532, 0, 136736
