# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, , 0
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, , 0
# load the ground truth ../data/yahoomusic/20_yahoomusic_product_groundtruth.ivecs, 0
# ranking metric product, 0
# AQ, M: 2, Ks : 256, code_dtype: <class 'numpy.int32'>, 0
# compress items, 0
# Mean AQ quantization error: 0.261898, 0
# sorting items, 0
# searching!, 0
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.00955, 0.191, 0, 0
2, 0, 0.01875, 0.1875, 0, 0
4, 0, 0.03485, 0.17425, 0, 0
8, 0, 0.0653, 0.16325, 0, 0
16, 0, 0.11574999999999999, 0.1446875, 0, 0
32, 0, 0.19585, 0.12240625, 0, 0
64, 0, 0.3198, 0.09993749999999998, 0, 0
128, 0, 0.47779999999999995, 0.07465625, 0, 0
256, 0, 0.6519, 0.0509296875, 0, 0
512, 0, 0.8154999999999999, 0.03185546875, 0, 0
1024, 0, 0.9248, 0.0180625, 0, 0
2048, 0, 0.9743999999999999, 0.009515625, 0, 0
4096, 0, 0.9949999999999999, 0.0048583984375, 0, 0
8192, 0, 0.9993000000000001, 0.002439697265625, 0, 0
16384, 0, 0.99985, 0.00122052001953125, 0, 0
32768, 0, 1.0, 0.0006103515625, 0, 0
65536, 0, 1.0, 0.00030517578125, 0, 0
131072, 0, 1.0, 0.000152587890625, 0, 0
262144, 0, 1.0, 0.00014626725953662532, 0, 0
