# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/20_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: ORQ, RQ : [Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>],  M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 0,  residual average norm : 0.3149750530719757 max norm: 0.8124428987503052 min norm: 0.019918233156204224
# layer: 0,  residual average norm : 0.3149750530719757 max norm: 0.8124428391456604 min norm: 0.019918201491236687
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0233, 0.466, 0, 1
2, 0, 0.04325, 0.4325, 0, 2
4, 0, 0.07780000000000001, 0.389, 0, 4
8, 0, 0.13875, 0.34687500000000004, 0, 8
16, 0, 0.22565000000000004, 0.28206250000000005, 0, 16
32, 0, 0.35875, 0.22421875000000002, 0, 32
64, 0, 0.52765, 0.16489062499999999, 0, 64
128, 0, 0.695, 0.10859374999999999, 0, 128
256, 0, 0.83125, 0.06494140625, 0, 256
512, 0, 0.9203499999999999, 0.03595117187499999, 0, 512
1024, 0, 0.9669500000000001, 0.018885742187500002, 0, 1024
2048, 0, 0.9885999999999999, 0.009654296875, 0, 2048
4096, 0, 0.99745, 0.0048703613281249995, 0, 4096
8192, 0, 0.9998499999999999, 0.0024410400390625, 0, 8192
16384, 0, 1.0, 0.001220703125, 0, 16384
32768, 0, 1.0, 0.0006103515625, 0, 32768
65536, 0, 1.0, 0.00030517578125, 0, 65536
131072, 0, 1.0, 0.000152587890625, 0, 131072
262144, 0, 1.0, 7.62939453125e-05, 0, 262144
