# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/20_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: OPQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 0,  residual average norm : 0.3150220215320587 max norm: 0.8120635747909546 min norm: 0.019918207079172134
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0235, 0.47, 0, 1
2, 0, 0.0424, 0.424, 0, 2
4, 0, 0.07685, 0.38425, 0, 4
8, 0, 0.13805, 0.345125, 0, 8
16, 0, 0.22679999999999997, 0.2835, 0, 16
32, 0, 0.35955, 0.22471875, 0, 32
64, 0, 0.5272, 0.16475, 0, 64
128, 0, 0.69465, 0.1085390625, 0, 128
256, 0, 0.8303, 0.0648671875, 0, 256
512, 0, 0.9201499999999999, 0.035943359375, 0, 512
1024, 0, 0.9671, 0.018888671875, 0, 1024
2048, 0, 0.9883, 0.0096513671875, 0, 2048
4096, 0, 0.9974500000000001, 0.004870361328125, 0, 4096
8192, 0, 0.99985, 0.0024410400390625, 0, 8192
16384, 0, 1.0, 0.001220703125, 0, 16384
32768, 0, 1.0, 0.0006103515625, 0, 32768
65536, 0, 1.0, 0.00030517578125, 0, 65536
131072, 0, 1.0, 0.000152587890625, 0, 131072
262144, 0, 1.0, 0.00014626725953662532, 0, 136736
