# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, , 0
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, , 0
# load the ground truth ../data/yahoomusic/20_yahoomusic_product_groundtruth.ivecs, 0
# ranking metric product, 0
# Subspace PQ, M: 2, Ks : 256, code_dtype: <class 'numpy.uint8'>, 0
#    Training the subspace: 0 / 2, 0 -> 150, 0
#    Training the subspace: 1 / 2, 150 -> 300, 0
# layer: 0,  residual average norm : 0.6372407078742981 max norm: 1.8129827976226807 min norm: 0.1288619041442871, 0
# compress items, 0
# sorting items, 0
# searching!, 0
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0046, 0.092, 0, 0
2, 0, 0.00805, 0.0805, 0, 0
4, 0, 0.01475, 0.07375, 0, 0
8, 0, 0.02565, 0.064125, 0, 0
16, 0, 0.0419, 0.052375, 0, 0
32, 0, 0.0753, 0.04706250000000001, 0, 0
64, 0, 0.1331, 0.04159375, 0, 0
128, 0, 0.24145, 0.0377265625, 0, 0
256, 0, 0.39540000000000003, 0.030890625, 0, 0
512, 0, 0.59645, 0.023298828125, 0, 0
1024, 0, 0.7651, 0.014943359375, 0, 0
2048, 0, 0.8952, 0.0087421875, 0, 0
4096, 0, 0.9642, 0.0047080078125, 0, 0
8192, 0, 0.99085, 0.0024190673828125, 0, 0
16384, 0, 0.99825, 0.00121856689453125, 0, 0
32768, 0, 0.9997999999999999, 0.0006102294921875, 0, 0
65536, 0, 1.0, 0.00030517578125, 0, 0
131072, 0, 1.0, 0.000152587890625, 0, 0
262144, 0, 1.0, 0.00014626725953662532, 0, 0
