# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, , 0
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, , 0
# load the ground truth ../data/yahoomusic/20_yahoomusic_product_groundtruth.ivecs, 0
# ranking metric product, 0
# Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>, 0
#    Training the subspace: 0 / 1, 0 -> 300, 0
# layer: 0,  residual average norm : 0.6392053365707397 max norm: 1.8925235271453857 min norm: 0.11763524264097214, 0
#    Training the subspace: 0 / 1, 0 -> 300, 0
# layer: 1,  residual average norm : 0.4899015724658966 max norm: 1.749992847442627 min norm: 0.09519148617982864, 0
# compress items, 0
# sorting items, 0
# searching!, 0
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.014199999999999999, 0.284, 0, 0
2, 0, 0.028050000000000002, 0.2805, 0, 0
4, 0, 0.05500000000000001, 0.275, 0, 0
8, 0, 0.1042, 0.2605, 0, 0
16, 0, 0.18155, 0.2269375, 0, 0
32, 0, 0.29125, 0.18203125, 0, 0
64, 0, 0.4316, 0.134875, 0, 0
128, 0, 0.58805, 0.0918828125, 0, 0
256, 0, 0.7383, 0.05767968749999999, 0, 0
512, 0, 0.8624, 0.0336875, 0, 0
1024, 0, 0.9397, 0.018353515625, 0, 0
2048, 0, 0.97965, 0.00956689453125, 0, 0
4096, 0, 0.9945999999999999, 0.0048564453125, 0, 0
8192, 0, 0.9990500000000001, 0.0024390869140625, 0, 0
16384, 0, 0.9999499999999999, 0.00122064208984375, 0, 0
32768, 0, 1.0, 0.0006103515625, 0, 0
65536, 0, 1.0, 0.00030517578125, 0, 0
131072, 0, 1.0, 0.000152587890625, 0, 0
262144, 0, 1.0, 0.00014626725953662532, 0, 0
