# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, , 0
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, , 0
# load the ground truth ../data/yahoomusic/20_yahoomusic_product_groundtruth.ivecs, 0
# ranking metric product, 0
# AQ, M: 4, Ks : 256, code_dtype: <class 'numpy.int32'>, 0
# compress items, 0
# Mean AQ quantization error: 0.114547, 0
# sorting items, 0
# searching!,
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.034699999999999995, 0.694, 0, 0
2, 0, 0.0649, 0.649, 0, 0
4, 0, 0.118, 0.59, 0, 0
8, 0, 0.20065, 0.501625, 0, 0
16, 0, 0.3231, 0.403875, 0, 0
32, 0, 0.48579999999999995, 0.303625, 0, 0
64, 0, 0.65605, 0.205015625, 0, 0
128, 0, 0.8150499999999999, 0.1273515625, 0, 0
256, 0, 0.9189999999999999, 0.071796875, 0, 0
512, 0, 0.9727, 0.03799609375, 0, 0
1024, 0, 0.99225, 0.0193798828125, 0, 0
2048, 0, 0.99785, 0.00974462890625, 0, 0
4096, 0, 0.9992000000000001, 0.00487890625, 0, 0
8192, 0, 0.99985, 0.0024410400390625, 0, 0
16384, 0, 1.0, 0.001220703125, 0, 0
32768, 0, 1.0, 0.0006103515625, 0, 0
65536, 0, 1.0, 0.00030517578125, 0, 0
131072, 0, 1.0, 0.000152587890625, 0, 0
262144, 0, 1.0, 0.00014626725953662532, 0, 0
