# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/20_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: ORQ, RQ : [Subspace PQ, M: 3, Ks : 256, code_dtype: <class 'numpy.uint8'>],  M: 3, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 3, 0 -> 100
#    Training the subspace: 1 / 3, 100 -> 200
#    Training the subspace: 2 / 3, 200 -> 300
# layer: 0,  residual average norm : 0.2489045113325119 max norm: 0.7098596096038818 min norm: 0.09065423905849457
# layer: 0,  residual average norm : 0.2489045113325119 max norm: 0.7098596096038818 min norm: 0.09065422415733337
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.035050000000000005, 0.7010000000000001, 0, 1
2, 0, 0.06534999999999999, 0.6535, 0, 2
4, 0, 0.11935, 0.59675, 0, 4
8, 0, 0.21265, 0.531625, 0, 8
16, 0, 0.34920000000000007, 0.4365000000000001, 0, 16
32, 0, 0.51835, 0.32396874999999997, 0, 32
64, 0, 0.7022, 0.2194375, 0, 64
128, 0, 0.8455, 0.132109375, 0, 128
256, 0, 0.9398500000000001, 0.07342578125, 0, 256
512, 0, 0.9824, 0.038375, 0, 512
1024, 0, 0.9957, 0.019447265625, 0, 1024
2048, 0, 0.9987999999999999, 0.00975390625, 0, 2048
4096, 0, 0.9995499999999999, 0.004880615234375, 0, 4096
8192, 0, 0.99995, 0.0024412841796875, 0, 8192
16384, 0, 1.0, 0.001220703125, 0, 16384
32768, 0, 1.0, 0.0006103515625, 0, 32768
65536, 0, 1.0, 0.00030517578125, 0, 65536
131072, 0, 1.0, 0.000152587890625, 0, 131072
262144, 0, 1.0, 7.62939453125e-05, 0, 262144
