# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/20_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: OPQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 0,  residual average norm : 0.3141910433769226 max norm: 0.7970467805862427 min norm: 0.06566444784402847
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 1,  residual average norm : 0.24139147996902466 max norm: 0.7424254417419434 min norm: 0.055705320090055466
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 2,  residual average norm : 0.2011948972940445 max norm: 0.7103429436683655 min norm: 0.04145645350217819
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.0376, 0.752, 0, 1
2, 0, 0.07325000000000001, 0.7325000000000002, 0, 2
4, 0, 0.1386, 0.6930000000000001, 0, 4
8, 0, 0.25129999999999997, 0.62825, 0, 8
16, 0, 0.41825, 0.5228125, 0, 16
32, 0, 0.6195999999999999, 0.38725, 0, 32
64, 0, 0.80915, 0.252859375, 0, 64
128, 0, 0.9243, 0.144421875, 0, 128
256, 0, 0.976, 0.07625, 0, 256
512, 0, 0.9929500000000001, 0.038787109375, 0, 512
1024, 0, 0.9974000000000001, 0.01948046875, 0, 1024
2048, 0, 0.99925, 0.00975830078125, 0, 2048
4096, 0, 0.9999, 0.00488232421875, 0, 4096
8192, 0, 1.0, 0.00244140625, 0, 8192
16384, 0, 1.0, 0.001220703125, 0, 16384
32768, 0, 1.0, 0.0006103515625, 0, 32768
65536, 0, 1.0, 0.00030517578125, 0, 65536
131072, 0, 1.0, 0.000152587890625, 0, 131072
262144, 0, 1.0, 0.00014626725953662532, 0, 136736
