# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, , 0
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, , 0
# load the ground truth ../data/yahoomusic/20_yahoomusic_product_groundtruth.ivecs, 0
# ranking metric product, 0
# Subspace PQ, M: 4, Ks : 256, code_dtype: <class 'numpy.uint8'>, 0
#    Training the subspace: 0 / 4, 0 -> 75, 0
#    Training the subspace: 1 / 4, 75 -> 150, 0
#    Training the subspace: 2 / 4, 150 -> 225, 0
#    Training the subspace: 3 / 4, 225 -> 300, 0
# layer: 0,  residual average norm : 0.6317339539527893 max norm: 1.8077061176300049 min norm: 0.1368686854839325, 0
# compress items, 0
# sorting items, 0
# searching!, 0
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.00635, 0.127, 0, 0
2, 0, 0.010249999999999999, 0.10249999999999998, 0, 0
4, 0, 0.0193, 0.0965, 0, 0
8, 0, 0.0368, 0.092, 0, 0
16, 0, 0.06684999999999999, 0.08356249999999998, 0, 0
32, 0, 0.11699999999999999, 0.073125, 0, 0
64, 0, 0.1967, 0.06146875, 0, 0
128, 0, 0.3081, 0.048140625, 0, 0
256, 0, 0.4756, 0.03715625, 0, 0
512, 0, 0.6627, 0.02588671875, 0, 0
1024, 0, 0.82195, 0.0160537109375, 0, 0
2048, 0, 0.9248, 0.00903125, 0, 0
4096, 0, 0.97765, 0.004773681640625, 0, 0
8192, 0, 0.99635, 0.0024324951171875, 0, 0
16384, 0, 0.9996499999999999, 0.00122027587890625, 0, 0
32768, 0, 1.0, 0.0006103515625, 0, 0
65536, 0, 1.0, 0.00030517578125, 0, 0
131072, 0, 1.0, 0.000152587890625, 0, 0
262144, 0, 1.0, 0.00014626725953662532, 0, 0
