# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, , 0
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, , 0
# load the ground truth ../data/yahoomusic/20_yahoomusic_product_groundtruth.ivecs, 0
# ranking metric product, 0
# Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>Subspace PQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>, 0
#    Training the subspace: 0 / 1, 0 -> 300, 0
# layer: 0,  residual average norm : 0.6392053365707397 max norm: 1.8925235271453857 min norm: 0.11763524264097214, 0
#    Training the subspace: 0 / 1, 0 -> 300, 0
# layer: 1,  residual average norm : 0.4899015724658966 max norm: 1.749992847442627 min norm: 0.09519148617982864, 0
#    Training the subspace: 0 / 1, 0 -> 300, 0
# layer: 2,  residual average norm : 0.4080970585346222 max norm: 1.6512564420700073 min norm: 0.10958147048950195, 0
#    Training the subspace: 0 / 1, 0 -> 300, 0
# layer: 3,  residual average norm : 0.35116639733314514 max norm: 1.3474515676498413 min norm: 0.0, 0
# compress items, 0
# sorting items, 0
# searching!, 0
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.03585, 0.717, 0, 0
2, 0, 0.0673, 0.673, 0, 0
4, 0, 0.12250000000000001, 0.6125, 0, 0
8, 0, 0.21195, 0.529875, 0, 0
16, 0, 0.34785, 0.4348125, 0, 0
32, 0, 0.5164, 0.32275, 0, 0
64, 0, 0.6852, 0.214125, 0, 0
128, 0, 0.8252499999999999, 0.1289453125, 0, 0
256, 0, 0.9159, 0.0715546875, 0, 0
512, 0, 0.96645, 0.037751953125, 0, 0
1024, 0, 0.98885, 0.0193134765625, 0, 0
2048, 0, 0.9970000000000001, 0.009736328125, 0, 0
4096, 0, 0.9994999999999999, 0.00488037109375, 0, 0
8192, 0, 0.9999499999999999, 0.0024412841796875, 0, 0
16384, 0, 1.0, 0.001220703125, 0, 0
32768, 0, 1.0, 0.0006103515625, 0, 0
65536, 0, 1.0, 0.00030517578125, 0, 0
131072, 0, 1.0, 0.000152587890625, 0, 0
262144, 0, 1.0, 0.00014626725953662532, 0, 0
