# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/20_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# XPQ PQ, M: 2, quantizer : [<aq.AQ object at 0x7f57ebd51978>, <aq.AQ object at 0x7f57d6061cf8>]
#    Training the XPQ subspace: 0 / 2, 0 -> 150
#    Training the XPQ subspace: 1 / 2, 150 -> 300
# compress items
# Mean AQ quantization error: 0.055270
# Mean AQ quantization error: 0.055226
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.038650000000000004, 0.7730000000000001, 0, 1
2, 0, 0.07365000000000001, 0.7365, 0, 2
4, 0, 0.1367, 0.6835, 0, 4
8, 0, 0.2431, 0.60775, 0, 8
16, 0, 0.3901, 0.487625, 0, 16
32, 0, 0.5771499999999999, 0.36071875, 0, 32
64, 0, 0.76105, 0.237828125, 0, 64
128, 0, 0.89365, 0.1396328125, 0, 128
256, 0, 0.9617000000000001, 0.0751328125, 0, 256
512, 0, 0.98805, 0.038595703125, 0, 512
1024, 0, 0.9967499999999999, 0.0194677734375, 0, 1024
2048, 0, 0.9992000000000001, 0.0097578125, 0, 2048
4096, 0, 0.9997999999999999, 0.0048818359375, 0, 4096
8192, 0, 0.9999, 0.002441162109375, 0, 8192
16384, 0, 1.0, 0.001220703125, 0, 16384
32768, 0, 1.0, 0.0006103515625, 0, 32768
65536, 0, 1.0, 0.00030517578125, 0, 65536
131072, 0, 1.0, 0.000152587890625, 0, 131072
262144, 0, 1.0, 0.00014626725953662532, 0, 136736
