# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, , 0
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, , 0
# load the ground truth ../data/yahoomusic/20_yahoomusic_product_groundtruth.ivecs, 0
# ranking metric product, 0
# NormPQ, percentiles: 256, quantize: AQ, M: 7, Ks : 256, code_dtype: <class 'numpy.int32'>, 0
# compress items, 0
# Mean AQ quantization error: 0.013241, 0
# max dis: 0.1513960361480713 min : 0.0 mean: 0.0018817947711795568, 0
# Mean AQ quantization error: 0.013241, 0
# sorting items, 0
# searching!, 0
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.04695, 0.939, 0, 0
2, 0, 0.09245, 0.9245000000000001, 0, 0
4, 0, 0.18055000000000002, 0.90275, 0, 0
8, 0, 0.3399, 0.84975, 0, 0
16, 0, 0.58275, 0.7284375, 0, 0
32, 0, 0.8198000000000001, 0.512375, 0, 0
64, 0, 0.9393499999999999, 0.293546875, 0, 0
128, 0, 0.9839499999999999, 0.1537421875, 0, 0
256, 0, 0.9976499999999999, 0.07794140625, 0, 0
512, 0, 0.9996499999999999, 0.039048828125, 0, 0
1024, 0, 1.0, 0.01953125, 0, 0
2048, 0, 1.0, 0.009765625, 0, 0
4096, 0, 1.0, 0.0048828125, 0, 0
8192, 0, 1.0, 0.00244140625, 0, 0
16384, 0, 1.0, 0.001220703125, 0, 0
32768, 0, 1.0, 0.0006103515625, 0, 0
65536, 0, 1.0, 0.00030517578125, 0, 0
131072, 0, 1.0, 0.000152587890625, 0, 0
262144, 0, 1.0, 0.00014626725953662532, 0, 0
