# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/20_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: ORQ, RQ : [Subspace PQ, M: 7, Ks : 256, code_dtype: <class 'numpy.uint8'>],  M: 7, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 7, 0 -> 43
#    Training the subspace: 1 / 7, 43 -> 86
#    Training the subspace: 2 / 7, 86 -> 129
#    Training the subspace: 3 / 7, 129 -> 172
#    Training the subspace: 4 / 7, 172 -> 215
#    Training the subspace: 5 / 7, 215 -> 258
#    Training the subspace: 6 / 7, 258 -> 300
# layer: 0,  residual average norm : 0.17879755795001984 max norm: 0.6322087645530701 min norm: 0.08171132206916809
# layer: 0,  residual average norm : 0.17879755795001984 max norm: 0.6322087049484253 min norm: 0.0817112848162651
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.04440000000000001, 0.8880000000000001, 0, 1
2, 0, 0.0862, 0.862, 0, 2
4, 0, 0.16465000000000002, 0.82325, 0, 4
8, 0, 0.29974999999999996, 0.7493749999999999, 0, 8
16, 0, 0.49855, 0.6231875, 0, 16
32, 0, 0.7141000000000002, 0.4463125000000001, 0, 32
64, 0, 0.8732500000000001, 0.27289062500000005, 0, 64
128, 0, 0.95525, 0.1492578125, 0, 128
256, 0, 0.9843, 0.0768984375, 0, 256
512, 0, 0.9969, 0.03894140625, 0, 512
1024, 0, 0.9990999999999999, 0.019513671875, 0, 1024
2048, 0, 0.9997, 0.0097626953125, 0, 2048
4096, 0, 0.99995, 0.004882568359375, 0, 4096
8192, 0, 1.0, 0.00244140625, 0, 8192
16384, 0, 1.0, 0.001220703125, 0, 16384
32768, 0, 1.0, 0.0006103515625, 0, 32768
65536, 0, 1.0, 0.00030517578125, 0, 65536
131072, 0, 1.0, 0.000152587890625, 0, 131072
262144, 0, 1.0, 7.62939453125e-05, 0, 262144
