# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/20_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: OPQ, M: 1, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 0,  residual average norm : 0.3155710995197296 max norm: 0.7937561869621277 min norm: 0.06384016573429108
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 1,  residual average norm : 0.24192966520786285 max norm: 0.6880322694778442 min norm: 0.06711751967668533
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 2,  residual average norm : 0.20167212188243866 max norm: 0.6465402245521545 min norm: 0.0414564423263073
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 3,  residual average norm : 0.1736401915550232 max norm: 0.6141027212142944 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 4,  residual average norm : 0.15233446657657623 max norm: 0.5656481385231018 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 5,  residual average norm : 0.1351083517074585 max norm: 0.5412318110466003 min norm: 0.0
#    Training the subspace: 0 / 1, 0 -> 300
# layer: 6,  residual average norm : 0.12087497860193253 max norm: 0.5244717597961426 min norm: 0.0
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.04795, 0.959, 0, 1
2, 0, 0.0931, 0.931, 0, 2
4, 0, 0.18209999999999998, 0.9104999999999999, 0, 4
8, 0, 0.3426, 0.8565, 0, 8
16, 0, 0.59285, 0.7410625, 0, 16
32, 0, 0.84005, 0.52503125, 0, 32
64, 0, 0.95605, 0.298765625, 0, 64
128, 0, 0.9919, 0.154984375, 0, 128
256, 0, 0.99825, 0.07798828125, 0, 256
512, 0, 0.9994, 0.0390390625, 0, 512
1024, 0, 0.9999, 0.019529296875, 0, 1024
2048, 0, 0.9999, 0.0097646484375, 0, 2048
4096, 0, 1.0, 0.0048828125, 0, 4096
8192, 0, 1.0, 0.00244140625, 0, 8192
16384, 0, 1.0, 0.001220703125, 0, 16384
32768, 0, 1.0, 0.0006103515625, 0, 32768
65536, 0, 1.0, 0.00030517578125, 0, 65536
131072, 0, 1.0, 0.000152587890625, 0, 131072
262144, 0, 1.0, 0.00014626725953662532, 0, 136736
