# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/20_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# NormPQ, percentiles: 256, quantize: Subspace PQ, M: 7, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 7, 0 -> 43
#    Training the subspace: 1 / 7, 43 -> 86
#    Training the subspace: 2 / 7, 86 -> 129
#    Training the subspace: 3 / 7, 129 -> 172
#    Training the subspace: 4 / 7, 172 -> 215
#    Training the subspace: 5 / 7, 215 -> 258
#    Training the subspace: 6 / 7, 258 -> 300
# layer: 0,  residual average norm : 0.3071274757385254 max norm: 0.7224352359771729 min norm: 0.11326561123132706
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.03295, 0.659, 0, 1
2, 0, 0.06265, 0.6265, 0, 2
4, 0, 0.11455, 0.57275, 0, 4
8, 0, 0.2041, 0.51025, 0, 8
16, 0, 0.3379, 0.42237499999999994, 0, 16
32, 0, 0.5118, 0.319875, 0, 32
64, 0, 0.6996, 0.218625, 0, 64
128, 0, 0.8478999999999999, 0.132484375, 0, 128
256, 0, 0.9346500000000001, 0.07301953125, 0, 256
512, 0, 0.9788500000000001, 0.038236328125, 0, 512
1024, 0, 0.9936999999999999, 0.019408203125, 0, 1024
2048, 0, 0.9984999999999999, 0.0097509765625, 0, 2048
4096, 0, 0.9997, 0.00488134765625, 0, 4096
8192, 0, 1.0, 0.00244140625, 0, 8192
16384, 0, 1.0, 0.001220703125, 0, 16384
32768, 0, 1.0, 0.0006103515625, 0, 32768
65536, 0, 1.0, 0.00030517578125, 0, 65536
131072, 0, 1.0, 0.000152587890625, 0, 131072
262144, 0, 1.0, 0.00014626725953662532, 0, 136736
