# load the base data ../data/yahoomusic/yahoomusic_base.fvecs, 
# load the queries ../data/yahoomusic/yahoomusic_query.fvecs, 
# load the ground truth ../data/yahoomusic/20_yahoomusic_product_groundtruth.ivecs
# ranking metric product
# ORQ, RQ : [Subspace PQ, M: 8, Ks : 256, code_dtype: <class 'numpy.uint8'>],  M: 8, Ks : 256, code_dtype: <class 'numpy.uint8'>
#    Training the subspace: 0 / 8, 0 -> 38
#    Training the subspace: 1 / 8, 38 -> 76
#    Training the subspace: 2 / 8, 76 -> 114
#    Training the subspace: 3 / 8, 114 -> 152
#    Training the subspace: 4 / 8, 152 -> 189
#    Training the subspace: 5 / 8, 189 -> 226
#    Training the subspace: 6 / 8, 226 -> 263
#    Training the subspace: 7 / 8, 263 -> 300
# layer: 0,  residual average norm : 0.3524692952632904 max norm: 1.3625035285949707 min norm: 0.13704833388328552
# layer: 0,  residual average norm : 0.3524692952632904 max norm: 1.3625035285949707 min norm: 0.1370483636856079
# compress items
# sorting items
# searching!
expected items, overall time, avg recall, avg precision, avg error, avg items
1, 0, 0.03145, 0.629, 0, 1
2, 0, 0.0595, 0.595, 0, 2
4, 0, 0.10919999999999999, 0.5459999999999999, 0, 4
8, 0, 0.19080000000000003, 0.4770000000000001, 0, 8
16, 0, 0.3112, 0.38899999999999996, 0, 16
32, 0, 0.46475, 0.29046875, 0, 32
64, 0, 0.63475, 0.198359375, 0, 64
128, 0, 0.7887000000000001, 0.12323437500000001, 0, 128
256, 0, 0.8957999999999999, 0.06998437499999999, 0, 256
512, 0, 0.95785, 0.037416015625, 0, 512
1024, 0, 0.98515, 0.0192412109375, 0, 1024
2048, 0, 0.9947999999999999, 0.009714843749999999, 0, 2048
4096, 0, 0.9985499999999999, 0.004875732421875, 0, 4096
8192, 0, 0.99975, 0.0024407958984375, 0, 8192
16384, 0, 0.99995, 0.00122064208984375, 0, 16384
32768, 0, 1.0, 0.0006103515625, 0, 32768
65536, 0, 1.0, 0.00030517578125, 0, 65536
131072, 0, 1.0, 0.000152587890625, 0, 131072
262144, 0, 1.0, 7.62939453125e-05, 0, 262144
